hash,time,message,buggy
022957c,2016-12-13T14:37:17,* check libxc 2.2.3,0.0
e260a81,2016-12-15T11:16:27,multibinit: change strain-coupling input variables,0.0
e4f6736,2016-12-20T09:20:26,Initialize v8.3.0  incl. *.ac files .,0.0
ca392e0,2016-12-20T19:11:47,Fixed a small bug in the ElectronPhononCoupling module that would prevent proper import.,1.0
434e51d,2016-12-21T13:48:46,multibinit: add strain coupling in fitting coefficient treatment + update ref + debug,0.0
27ea8da,2016-12-21T13:52:28,Merge tag 'start-8.3.0' into develop,0.0
dea24a0,2016-12-21T14:48:13,debug test,0.0
dcba6ae,2016-12-22T15:52:46,remove etsf_io FB in testfarm.conf,1.0
b898d79,2016-12-22T20:49:19,add 2 newbots : tikal_gnu_5.4_mpich & ubu_intel_17.0_openmpi,0.0
7fd6c19,2016-12-22T23:09:59,typos in modules for newbots,1.0
c77630a,2016-12-22T23:38:21,must recompile psml with gnu 5.4,0.0
0e1a852,2016-12-23T10:47:43,Merge branch 'develop' of gitlab:trunk/abinit into libxc223,0.0
90049da,2016-12-23T11:30:11,updatei for external fb for newbot ubu_intel_17_openmpi,0.0
d4034a6,2016-12-23T13:57:50,Fixed the interpolation of the response potential for computation of the gkk.,1.0
130c9ee,2016-12-23T14:00:34,Merge remote-tracking branch 'trunk/develop' into develop,0.0
9ae1616,2016-12-24T01:09:25,Customized mixing and screening parameters for PBE0 and HSE,1.0
123f0ed,2016-12-24T01:59:01,Checks for gwfockmix.,0.0
8061009.0,2016-12-24T02:19:34,Added docs for the new variable gwfockmix.,0.0
4971118.0,2016-12-24T02:23:19,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into develop,0.0
3603c00,2016-12-24T02:39:16,HTML docs generated.,0.0
7c62d4c,2016-12-25T16:25:28,make buildsys happy or not...,0.0
dafd718,2016-12-25T16:45:37,make buildsys happy...I hope now,0.0
67ccc6d,2016-12-26T13:14:55,libxc/t43.in added to test the gwfockmix variable,0.0
d587476,2016-12-26T15:17:25,Merge remote-tracking branch 'remotes/trunk/develop' into develop,0.0
e833e96,2016-12-26T16:40:32,libxc/t43 reference updated with gwpc=8,0.0
2a85ec8,2016-12-27T22:03:52,libxc/t43 tolerance adjusted to pass the test on cronos.,0.0
7d49e1f,2016-12-28T10:19:52,Improves comments in the el-ph ZPR part. Modified:   72_response/dfpt_vtowfk.F90  72_response/eig2stern.F90,0.0
c19778e,2016-12-30T17:59:29,Merge remote-tracking branch wchen/develop/2a85 into _wchen,0.0
fe5c02e,2016-12-30T21:17:38,Adjust tolerance for v7#45 on coba2. Modified:   t94.in,1.0
ab78ae1,2017-01-06T13:44:57,update graphene bot ( OS and MacPorts gcc6+openmpi+OpenBLAS... ),1.0
7da5b88,2017-01-06T22:08:22,update graphene bot and make buildsys[13] happy,1.0
0f03edd,2017-01-06T22:20:16,remove etsf_io in config/specs to make happy buildsys[10],0.0
a2f9b91,2017-01-13T01:51:42,Merge branch release-8.2.0/ebe6 into develop,1.0
ae177f2,2017-01-17T15:56:51,cleaning  updated FB  modif of builders,0.0
6178b09,2017-01-18T10:42:16,use atlas with bob  back to OpenBLAS with graphene  make buildsys happy,0.0
93e2511,2017-01-18T13:33:13,typo,0.0
d8dff05,2017-01-18T13:36:01,Merge branch 'intel17' of gitlab:gmatteo/abinit into libxc223,0.0
3604115.0,2017-01-18T15:21:24,New weights for anaddb,0.0
1272a4a,2017-01-18T16:46:18,option to activate new weights,0.0
a33b57f,2017-01-19T21:32:02,add support for intel 17 change standard optim for intel compiler : remove -xhost too aggressive,0.0
10da1fd,2017-01-20T15:56:11,test new fallbacks access,0.0
8e7e419,2017-01-20T22:38:28,test new fallbacks access(2),0.0
38a3370,2017-01-21T00:43:04,full new fallbacks access,0.0
e59d2b8,2017-01-21T15:01:05,fix typo + make buildsys happy,1.0
c4ae6a6,2017-01-21T22:49:33,add new bots with ABI-FBKS + make buildsys happy,0.0
c049616,2017-01-22T06:53:53,Adjust tolerances for tests/mpiio #28 with ubu_intel_15,0.0
209a694,2017-01-22T06:58:13,Merge branch release-8.2.0/6af2 into develop,0.0
600b500,2017-01-22T12:01:02,fix typo for buildsys check,1.0
c5d2fb8,2017-01-23T11:24:04,Merge remote-tracking branch beuken/libxc223/600b  into _beuken,0.0
15c9d20,2017-01-23T11:39:57,Merge branch 'release-8.2.0' into _beuken  and solve conflicts.,0.0
ff84c2f,2017-01-23T19:37:16,Update ubu_intel_15.0_mpich.ac,0.0
eea010e,2017-01-23T19:38:40,Update tolerance for ubu_intel_15.0_mpich . Modified:   v7/Input/t94.in,0.0
661937d,2017-01-23T21:18:25,Update KNOWN_PROBLEMS,0.0
