hash,time,message,buggy
6d32d81,2017-04-04T15:53:23,Integrate FB+JB TDEP code,0.0
b78debd,2017-04-05T10:19:31,Correct netcdf support,1.0
ca2746a,2017-04-14T09:07:56,Merge branch 'tedi' into develop,0.0
e6a5523,2017-04-14T09:21:00,Merge branch 'develop' into tdep,0.0
0d50562,2017-04-14T09:36:41,Add a short description for m_xg,0.0
4ec33de,2017-07-05T16:00:16,Fix  wf convergence ?,1.0
2669110.0,2017-07-06T06:38:46,Merge remote-tracking branch 'trunk/develop' into develop,0.0
4014b27,2017-07-06T13:38:43,Thanks robodoc,0.0
a3d86ba,2017-07-06T13:39:08,Merge remote-tracking branch 'refs/remotes/origin/develop' into develop,0.0
dcbf286,2017-07-07T10:08:55,abilint headers,0.0
123d386,2017-08-22T07:58:23,Merge remote-tracking branch 'trunk/develop' into develop,0.0
d4c326d,2017-09-11T11:28:12,may be a little bit slower but better?,0.0
e356bd3,2017-09-11T15:07:32,Merge remote-tracking branch 'trunk/develop' into develop,0.0
6fe4b6c,2017-09-19T11:04:19,Merge with trunk,0.0
ed6ea28,2017-09-19T12:48:46,Update for TDEP,0.0
b3df01b,2017-09-19T14:28:08,Switch to abirules,0.0
dcbc677,2017-09-21T20:16:53,Interface with TRIQS 1.4,0.0
58217f1,2017-09-23T14:57:23,Start 8.7.0,0.0
b6f3631,2017-09-23T14:58:50,Initialize v8.7.0,0.0
d457638,2017-09-24T05:51:49,Merge branch 'release-8.6.0' into develop,0.0
bf6446c,2017-09-24T06:37:51,Features was not completely removed from makefile,0.0
d5b243b,2017-09-24T06:39:37,Merge branch 'release-8.6.0' into develop,0.0
2f66c19,2017-09-25T06:04:06,Merge branch 'release-8.6.0' into develop,0.0
f1a30c5,2017-09-25T08:06:06,Merge remote-tracking branch 'trunk/develop' into develop,0.0
cf49ff9,2017-09-25T13:06:19,Merge branch 'develop' into tdep,0.0
b7cd215,2017-09-25T15:07:58,Suppress hybrid_corr (not used),0.0
bd6cb5f,2017-09-25T18:53:09,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into dev_gingras,0.0
93f2d15,2017-09-26T07:54:48,Prepare the cleaning of the rhohxc routine arguments (removing dtset from the list of args).,0.0
38c2707,2017-09-26T12:25:17,Extract dtset out of the list of args of rhohxc. make tests_in works.,0.0
c1208e7,2017-09-26T12:46:53,Convert tsmear to tphysel in vtorhotf.F90,0.0
fb4c413,2017-09-26T12:59:38,Clean calc_vhxc_me.F90,0.0
8a59f48,2017-09-26T13:23:04,Rely on the nelect from xcdata,0.0
39a8038,2017-09-26T13:25:33,Suppress unused hartre1,0.0
010a5b8,2017-09-26T13:33:13,Use rprimd instead of gprimd for strhar,0.0
f647c3e,2017-09-26T13:42:06,Use rprimd as argument of hartrestr instead of gmet and gprimd,0.0
417f178,2017-09-26T13:50:52,Update TDEP version,0.0
df51391,2017-09-26T13:52:29,Files removed,0.0
2892b0d,2017-09-26T14:26:04,Use rprimd as argument of hartre,0.0
52563.0,2017-09-26T14:26:35,Fix xclevel determination.,1.0
98e2ee9,2017-09-26T14:30:38,All test should pass now. Note tphysel has replaced tsmear for tkinfunc /=0 .,0.0
2b6fd11,2017-09-26T14:36:01,Merge branch 'ace_1' into ace_2,0.0
85952b5,2017-09-26T14:48:34,abirules,0.0
09eadf3,2017-09-26T15:16:08,Extract call hartree from rhohxc.,0.0
5d0fe14,2017-09-26T15:59:18,Cleaned the arguments of rhohxc.,0.0
efbe69c,2017-09-26T16:10:54,Rename rhohxc to rhotoxc (not for psolver and positro  though),0.0
74f5753,2017-09-26T16:12:52,Fix minor stuff,0.0
8269bbb,2017-09-26T22:18:06,Fix too long lines,0.0
173644d,2017-09-27T08:32:23,Merge remote-tracking branch 'remotes/origin/ace_1' into ace_2,0.0
f3350fb,2017-09-27T08:39:28,Fix incorrect args of hartre,1.0
0671f5e,2017-09-27T11:40:55,Fix compiling issues,1.0
b461d1b,2017-09-27T12:15:53,Make qpt an optional argument of hartre.F90,0.0
aac1f16,2017-09-27T12:30:25,Tune the timing  because of previous modifs for rhotoxc.F90,0.0
b9cb3f5,2017-09-27T12:35:40,Merge branch 'release-8.6.0' into ace_3,0.0
ae1c682,2017-09-27T13:53:35,Merge remote-tracking branch 'origin/release-8.6.0' into ace_2,0.0
32bf632,2017-09-27T13:55:14,One occurrence of qphonon as arg of hartree had been left.,0.0
3f05d30,2017-09-27T14:23:13,Correct the args of hartre in respfn,0.0
bad4077,2017-09-27T15:13:25,Move the allocation of vhartr,0.0
fa52940,2017-09-28T08:44:26,Update two reference files : the rhog extraction allowed to fix a bug !,0.0
08273d3,2017-09-28T08:50:07,Merge remote-tracking branch 'remotes/origin/ace_2' into ace_3,0.0
399b9b7,2017-09-28T10:13:07,Minor fix,0.0
a3d1d25,2017-09-28T10:13:31,Merge branch 'ace_2' of gitlab:trunk/abinit into ace_2,0.0
9e180ce,2017-09-28T11:10:23,Minor cleaning  remove unused useri and userr in invars1,0.0
3bc9646,2017-09-28T12:38:37,Implement algorithm with a compensating vxc in case of hybrids,0.0
b6e9a68,2017-09-28T12:46:22,Fix typos. Now  pass abilint.,0.0
e4b3829,2017-09-28T13:34:11,Fixed bugs. Now the compilation is OK. SCF with compensating xc potential is thus coded. Will now test ...,1.0
21b82e6,2017-09-28T14:35:03,Allows fockoptmix=11,0.0
7363dc2,2017-09-28T18:35:14,bug correction for stresses in fock calculations,1.0
e505aac,2017-09-28T18:36:27,Merge remote-tracking branch 'trunk/develop' into develop,0.0
bff7162,2017-09-29T11:35:18,Now the energies are computed correctly. Also  a multiplicative factor has been indluced. Preliminary tests show a value of 2 is to be preferred ?!,0.0
7091f3f,2017-09-29T14:40:00,abirules fix,1.0
71cf355,2017-09-29T18:06:35,bug correction for stresses in Fock ACE,1.0
c1a2977,2017-10-02T12:01:25,Merge branch 'ace_1' into ace_2,0.0
76c8565,2017-10-02T14:48:45,Merge branch 'develop' of gitlab.abinit.org:gingras.ol/abinit into dev_gingras,0.0
53c5c9a,2017-10-02T16:34:20,bug corrections for abiref serial,1.0
5a76c5c,2017-10-02T17:31:08,test seq tsv7_70.out updated,0.0
4066879.0,2017-10-03T09:08:34,Change stop by MSG_ERROR/MSG_BUG,0.0
73f735c,2017-10-03T09:24:08,abirules,0.0
7799b87,2017-10-03T09:42:00,I didnt do anything ...,0.0
29266fd,2017-10-03T10:17:05,Abiauty modification to ignore IF uppercase in IFC and run it from build directory,0.0
c6c94e8,2017-10-03T11:00:36,Line length reduction,0.0
8d19e5d,2017-10-03T11:04:55,Add header in calling ifc_print,0.0
3d8578c,2017-10-03T12:53:31,typo,0.0
3299d0b,2017-10-03T13:41:53,Line length,0.0
913c311,2017-10-03T14:17:20,Missing end marker for robodoc ?,0.0
7d1637c,2017-10-03T14:18:29,Merge branch 'develop' into tdep_2ndonly,0.0
98b9854,2017-10-03T15:10:24,Remove 3rd order,0.0
e9e7ff6,2017-10-04T10:39:31,supress comments and unused variables in fosrt.F90,0.0
f6eef3b,2017-10-04T15:02:46,petrus and max2 fix,0.0
3f660f0,2017-10-04T15:05:48,Input variables: dmft_solv,0.0
d1bfa17,2017-10-05T09:13:54,petrus@nag,0.0
70da029,2017-10-05T10:14:45,Petrus is boring,0.0
f0c411f,2017-10-05T11:29:18,reset m_lobpcg to trunk version,0.0
901d025,2017-10-05T11:58:00,Add testf ubu_triqs,0.0
70eec59,2017-10-05T14:33:53,Change testfarm,0.0
0f0e002,2017-10-05T18:24:07,Fixed the translation vector L0 used in v1phq_complete,1.0
033a5b1,2017-10-05T18:26:47,Allow vxc1 to be printed in dfpt calculations,0.0
a44f731,2017-10-06T08:23:08,Merge branch 'ace_2' of gitlab:trunk/abinit into ace_2,0.0
0f2f3cd,2017-10-06T09:05:15,Merge branch 'develop' of gitlab.abinit.org:gingras.ol/abinit into dev_gingras,0.0
ba7c728,2017-10-06T09:47:55,Merge remote-tracking branch 'trunk/develop' into develop,0.0
83e8441,2017-10-07T08:19:50,Merge jollet/develop/e9e7 into _jollet,0.0
fd0d3e0,2017-10-07T10:32:15,Merge biederj/tdep_2ndonly/f0c4 into _biederj,0.0
6c137fd,2017-10-07T10:34:14,Remove unneeded comment lines  for which robodoc complained.,0.0
d56b085,2017-10-07T10:34:35,Merge branch 'develop' of gitlab.abinit.org:gingras.ol/abinit into dev_gingras,0.0
ea44f57,2017-10-07T15:23:11,Merge branch 'develop' of gitlab.abinit.org:gingras.ol/abinit into dev_gingras,0.0
77b02e6,2017-10-07T16:21:52,Merge antonius/develop/ba7d into _antonius,0.0
684806f,2017-10-09T11:42:20,cleaning of Fock2ACE,0.0
739c1b1,2017-10-09T14:28:25,Implemented scaling factor for hybrid compensation  but energy double counting is not yet OK.,0.0
4bd5468,2017-10-10T08:21:02,Auxiliary XC functional implementation is working : energy is OK  including the double counting one.,0.0
c33aa28,2017-10-10T08:25:02,Merge remote-tracking branch 'remotes/jollet/develop' into ace_4,0.0
0fb2445,2017-10-10T11:29:55,Create a test for auxiliary functional treatment,0.0
9ac8b9c,2017-10-11T12:12:14,ntroduce new input variables fockaux_ixc and fockaux_scal   and update the test v7#67 accordingly. Doc for these input variables still to be written.,0.0
f7540dd,2017-10-11T12:40:18,Document the new input variables fockaux_ixc and fockaux_scal. Update the documentation.,0.0
e802a01,2017-10-11T14:49:43,Fix minor problem for ROBODOC,1.0
e7eb231,2017-10-11T15:36:25,Update reference for abirules #01,0.0
6dae63e,2017-10-12T13:12:52,Merge branch 'ace_4' into develop,0.0
c7419c8,2017-10-12T13:13:47,Merge branch 'release-8.6.0' into develop,0.0
