hash,time,message,buggy
4f4f861,2017-03-29T15:14:39,Merge remote-tracking branch 'trunk/develop' into develop,0.0
85d6271,2017-04-04T15:02:54,Merge remote-tracking branch 'trunk/develop' into develop,0.0
6d32d81,2017-04-04T15:53:23,Integrate FB+JB TDEP code,0.0
b78debd,2017-04-05T10:19:31,Correct netcdf support,1.0
ca2746a,2017-04-14T09:07:56,Merge branch 'tedi' into develop,0.0
e6a5523,2017-04-14T09:21:00,Merge branch 'develop' into tdep,0.0
0d50562,2017-04-14T09:36:41,Add a short description for m_xg,0.0
485c3cf,2017-05-02T15:20:00,Merge remote-tracking branch 'trunk/develop' into develop,0.0
b8521cf,2017-05-15T09:20:29,wfd_mkrho and nspinor==2,0.0
a541cb5,2017-05-15T09:20:48,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,0.0
e669ac3,2017-05-15T15:11:03,fix of xc magnetic field for non-collinear case,1.0
9e68517,2017-05-15T15:41:15,merge confliscts,0.0
fbece6b,2017-05-16T09:37:45,Activate nspinor=2 sections,0.0
184711b,2017-05-16T09:48:03,Fix wrong index in calc_sigx_me,1.0
2b8f674,2017-05-16T15:40:56,to test with phonons,0.0
6497f15,2017-05-17T12:09:40,Fixed spelling error in MSRQ output,1.0
b49d64a,2017-05-18T10:44:21,Fixed spelling errors in error statement when nddb =1,1.0
4a51b2c,2017-05-18T10:45:22,Added error message when nddb > number of ddb files input by user.,0.0
66f57ff,2017-05-18T12:00:55,Cleanup,0.0
abcacb1,2017-05-20T15:39:35,Working on vc singularity,0.0
b42fea1,2017-05-21T11:24:14,Add treatmento of heads and wings if nspino==2,0.0
c424ab6,2017-05-21T12:01:32,Remove DEV_USE_OLDRHOTWG blocks from GW routines,0.0
cdf85b5,2017-05-21T15:04:28,Test for HF with SOC,0.0
00d4329,2017-05-21T15:19:29,Use abiref ref,0.0
6f81be2,2017-05-21T15:53:57,gwpara = 2 in sigma with nspinor =2,0.0
0e299d1,2017-05-21T17:33:43,This should fix the SIGSEV under ifort,1.0
5b45d5b,2017-05-21T18:28:18,Add datasets with/wo SOC,0.0
cf4ae74,2017-05-25T13:05:38,Routine to compute SOC perturbatively,0.0
cbd4016,2017-05-26T10:05:23,Treat q-->0 limit in chi0 if nspinor==2,0.0
c0660f8,2017-05-26T11:07:55,Merge branch 'use_inversion' into gwsoc,0.0
6a34b78,2017-05-26T11:22:59,Update GW ref file after use_inversion merge,0.0
9be00af,2017-05-26T15:38:53,Code cleanup,0.0
41de37b,2017-05-26T16:21:54,Yet another bug in abilint,0.0
da90d34,2017-05-27T01:19:18,Add test with CD and nspinor=2,0.0
3ef4e72,2017-05-27T01:25:48,Use abiref output,0.0
081ff33,2017-05-27T02:17:34,Remove debug code,0.0
8d2b588,2017-05-27T11:06:56,Remove obsolete code,0.0
f0b65ec,2017-05-27T12:04:36,Add support for nspden = 1 and nspinor = 2 in GW code,0.0
b226c0b,2017-05-27T12:50:40,Change v67mbpt[60] to test HF with nspden 1 and nspden 4 with SOC,0.0
570fea2,2017-05-27T12:54:36,abiref ref,0.0
3eae4f2,2017-05-27T12:56:45,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,0.0
7444b8a,2017-05-27T15:48:45,Cohsex with spinors,0.0
f8e7fce,2017-05-27T16:04:35,abiref ref,0.0
1a051e3,2017-05-27T23:22:50,Add test for SCR,0.0
37bd92d,2017-05-27T23:48:46,Code refactoring,0.0
04740de,2017-05-28T00:12:50,Refactoring,0.0
bcf8795,2017-05-30T12:31:14,adjustments to calcdensph to include the possibility of complex density arrays  corrections for printmagvtk,0.0
64bad97,2017-06-01T11:02:14,Debugging,0.0
206fe31,2017-06-04T10:21:26,Fix compilation error,1.0
b4e1bd5,2017-06-06T10:58:10,Save work,0.0
462d520,2017-06-06T22:25:38,symsigma with nspinor == 2,0.0
6f92b00,2017-06-06T23:12:52,Use abiref ref,0.0
20932bb,2017-06-07T11:38:53,Add support for symchi and nspinor = 2,0.0
b6728f9,2017-06-07T11:48:54,Activate symchi in tests,0.0
ff5f6dd,2017-06-07T16:26:49,Add test for Hilbert transform,0.0
e087ee7,2017-06-07T16:33:10,Use abiref file,0.0
74391.0,2017-06-07T17:04:54,Add pseudos for other tests,0.0
d791d47,2017-06-07T17:05:03,Merge branch 'gwsoc' of gitlab.abinit.org:gmatteo/abinit into gwsoc,0.0
803e9a9,2017-06-13T09:53:33,Increase tols,0.0
461c2fc,2017-06-15T22:10:22,Merge branch 'hotfix-8.4' into develop,0.0
5ccbe7e,2017-06-15T23:07:39,Merge branch 'develop' into hotfix-8.4,0.0
bba58a3,2017-06-17T12:16:58,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,0.0
87f7ac7,2017-06-19T16:48:43,Work around gcc bug on tikal_gnu_5.4_mpich,0.0
4ec33de,2017-07-05T16:00:16,Fix  wf convergence ?,1.0
2669110.0,2017-07-06T06:38:46,Merge remote-tracking branch 'trunk/develop' into develop,0.0
4014b27,2017-07-06T13:38:43,Thanks robodoc,0.0
a3d86ba,2017-07-06T13:39:08,Merge remote-tracking branch 'refs/remotes/origin/develop' into develop,0.0
dcbf286,2017-07-07T10:08:55,abilint headers,0.0
ffe3236,2017-07-12T14:19:45,Increase tols,0.0
badedeb,2017-07-12T14:19:55,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,0.0
cba0257,2017-08-08T11:38:08,Tuned PSML tests to make them faster,0.0
daa003d,2017-08-08T11:38:08,Tuned PSML tests to make them faster,0.0
95a061d,2017-08-18T15:45:02,Merge branch 'npike/abinit-develop' Small bugfixs to anaddb and mrgddb,0.0
123d386,2017-08-22T07:58:23,Merge remote-tracking branch 'trunk/develop' into develop,0.0
eb90126,2017-08-28T14:09:36,merge with hotfix-8.4,0.0
a0eb914,2017-09-01T16:48:45,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,0.0
d4c326d,2017-09-11T11:28:12,may be a little bit slower but better?,0.0
e356bd3,2017-09-11T15:07:32,Merge remote-tracking branch 'trunk/develop' into develop,0.0
f87e1a7,2017-09-12T14:39:39,add datatype for the fit data,0.0
cff70fe,2017-09-13T14:10:01,Merge tag 'start-8.5.3',0.0
a7facbc,2017-09-13T14:42:06,reoder subroutines in 78_effpot,0.0
6fe4b6c,2017-09-19T11:04:19,Merge with trunk,0.0
f72a126,2017-09-19T12:13:20,remove the dimension for the imaginary part for the IFC (reduce the memory usage),0.0
0d14638,2017-09-19T12:35:15,fix dimension in atmfrc array,1.0
ed6ea28,2017-09-19T12:48:46,Update for TDEP,0.0
654d5e5,2017-09-19T13:40:08,remove option in fit_polynomial_coeff_fit,0.0
b3df01b,2017-09-19T14:28:08,Switch to abirules,0.0
4d30730,2017-09-19T16:16:53,abirules,0.0
69d88ee,2017-09-20T00:48:22,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,0.0
4e1d93b,2017-09-20T09:55:27,robodoc,0.0
f128e7d,2017-09-20T12:59:08,add MC option to the fit process,0.0
47fa20a,2017-09-20T13:37:40,Update refs,0.0
