hash,time,message,buggy
bda0730,2016-11-07T14:59:25,Modified the quip/lammps interface to pass lammps atom ids,0.0
e136a9d,2017-03-13T22:48:12,Create README,0.0
6311d33,2017-03-13T22:49:04,UPLOAD source files,0.0
23c3f56,2017-03-13T22:51:15,DOC files for USER-EES,0.0
68b2a45,2017-03-13T22:53:10,UPLOAD fix_wall_ees_image,0.0
d17d99b,2017-03-13T22:54:09,UPLOAD Formulas for EES,0.0
ef72145,2017-03-16T21:10:41,Readme for examples,0.0
8f37285,2017-03-16T21:12:10,UPLOAD examples,0.0
8051b12,2017-04-10T18:39:37,Updated to 1.33 from 1.32,0.0
b9177fd,2017-04-10T18:40:30,Updated to 1.108 from 1.103,0.0
3d3d106,2017-04-10T18:41:36,README for updated header files from VMD 1.9.3,0.0
9a027a0,2017-04-11T20:24:42,Add Python 3 compatibility to PYTHON package,0.0
2d8bce7,2017-04-11T21:22:30,Refactor PYTHON package and wrapper classes,0.0
05d7bc5,2017-04-11T21:46:33,Initialize Python interpreter in PythonImpl constructor,0.0
3fa9f0a,2017-04-11T21:51:21,Delete python_wrapper.h,0.0
961096f,2017-04-12T11:17:15,Prevent segfault if Python was never initialized,0.0
cb867ea,2017-04-12T13:58:23,Merge pull request #450 from rbberger/python_destruction_fix,0.0
e6f30eb,2017-04-12T20:26:57,Merge remote-tracking branch 'origin/master' into python_refactoring,0.0
2f32fb7,2017-04-13T11:19:48,patch 13Apr17,0.0
d3187b2,2017-04-13T18:11:57,restore lost change to PYTHON/Install.sh,0.0
6c2dd7e,2017-04-14T11:44:36,pass the name of the python interpreter compatible with the python package to 'make install-python',0.0
3cbf4f3,2017-04-14T11:57:53,correct logic bug in else branch of the conditional,0.0
c9bc141,2017-04-14T12:57:35,remove doc text explaining restrictions that are lifted with the changes in this branch,0.0
dd90c86,2017-04-17T17:40:21,refactor msi2lmp documentation to emphasize lack of active development,0.0
dec36e9,2017-04-17T17:40:57,fix typos and remove trailing whitespace,0.0
481927f,2017-04-17T17:49:49,correct 'thrid' instead of 'third',0.0
4bad52f,2017-04-17T17:52:06,fix typos,0.0
73c210b,2017-04-18T11:20:23,Merge branch 'unstable' of https://github.com/ketankhare/lammps into small-fixes-and-updates,0.0
dee3536,2017-04-18T11:42:31,update VMD molfile plugin headers and move them to lib/molfile (where they belong),0.0
8d39010,2017-04-18T11:44:23,update .gitignore and Purge.list for recent changes,0.0
25e8ed6,2017-04-18T11:46:19,whitespace cleanup in VMD plugin headers,0.0
dfa9815,2017-04-18T17:07:28,update for fix gle docs from michele ceriotti,0.0
f0681f7,2017-04-20T14:42:01,add support for USER-TALLY to pair styles hybrid and hybrid/overlay,0.0
4e41136,2017-04-21T14:01:38,add support to pair_modify to selectively disable compute/tally callbacks in sub-styles for pair hybrid and hybrid/overlay,0.0
396e0b5,2017-04-21T14:02:17,correct broken link in html bond doc overview,0.0
8f14511,2017-04-21T16:46:27,avoid division by zero by initializing unset (=automatic) g_ewald parameters to some number > 0.,0.0
197ce45,2017-04-21T17:27:08,avoid division by zero also for ewald/disp,0.0
0ac22e0,2017-04-22T21:50:27,turn errors from manybody potentials for */tally computes into warnings,0.0
958f05a,2017-04-25T01:09:05,Allow requesting Python interpreter without having to define a function just for that,0.0
2e1f8b4,2017-04-25T10:21:02,make Python::init() method public and remove the now redundant Python::request() method,0.0
ddc1e4e,2017-04-25T13:27:20,detect and refuse to run pair style srp together with fix rigid,0.0
8910ec6,2017-04-25T13:48:51,Updating Kokkos lib to 2.03.00,0.0
cc6104a,2017-04-25T14:11:36,Merge branch 'master' into kokkos_update,0.0
d73d70f,2017-04-26T08:15:42,Adding ubuf union to Kokkos atom_vec styles,0.0
0565b1d,2017-04-26T10:49:20,Fixing auto_sync logic bug in modify_kokkos,0.0
8f9cb35,2017-04-26T15:34:12,correct units for some improper force constants in docs,0.0
3e60f79,2017-04-26T17:24:25,remove cg/cmm style name aliases,0.0
949d61e,2017-04-26T19:26:27,rename examples folder for USER-CGSDK package,0.0
af74874,2017-04-26T19:27:13,rename references to USER-CG-CMM to USER-CGSDK,0.0
5c7a631,2017-04-26T19:29:39,rename USER-CG-CMM folder to USER-CGSDK,0.0
548c589,2017-04-26T19:35:54,update the README for USER-CGSDK,0.0
cd435c0,2017-04-26T19:44:25,change references from cg_cmm to lj_sdk and from cmm to sdk,0.0
b8cb80b,2017-04-26T19:46:10,rename files in GPU library from cg_cmm to lj_sdk,0.0
67fced3,2017-04-26T20:10:18,Setting molecule COM to 0 after moving atoms,0.0
7d9670b,2017-04-28T14:48:34,Addition of potential  code modifications to incorporate multicomponent spline MEAM in pair_meam_spline.,0.0
8cc8441,2017-04-28T14:53:25,Cleanup on pair_meam_spline.cpp,0.0
a0b61d1,2017-04-28T15:08:59,Updates to documentation: equation.,0.0
9bdc43b,2017-04-28T15:15:21,Updates to pair/meam/spline documentation.,0.0
31446000.0,2017-04-28T15:31:49,Cleanup on equations  JPG to be constructed.,0.0
8bddf10,2017-04-28T20:22:22,Updated version of equations  documentation.,0.0
9148484.0,2017-05-01T00:02:57,Using correct value for atom->nlocal,0.0
fb08dc0,2017-05-01T13:38:37,Small error in elements allocation causing seg. fault for parallel runs  fixed.,0.0
c76d273,2017-05-01T20:33:07,Another fix for seg fault in parallel allocation.,0.0
408cc19,2017-05-01T20:36:09,Fix for seg fault.,0.0
f58fc94,2017-05-01T21:56:19,Fixed neighbor list building that caused error in parallel runs with pair_meam_spline.,0.0
50c7234,2017-05-02T09:43:57,Fix to communication for mpi. Tested  and now working correctly with MPI.,0.0
f5cf1f1,2017-05-03T08:37:20,Merge pull request #464 from akohlmey/rename-cg-cmm-to-cgsdk,0.0
7adc7f0,2017-05-03T11:21:18,Stopped working on gaussian bump.,0.0
7f49ee8,2017-05-03T15:33:22,print warning about minimization energy with fix box/relax,0.0
11cb021,2017-05-03T16:49:43,Cleanup: two space indent + no trailing spaces on lines.,0.0
7409c6d,2017-05-03T16:56:07,Cleaned up atom->x and atom->f deferences.,0.0
45187a0,2017-05-04T11:05:50,Fix system header #include style.,0.0
addd87c,2017-05-04T11:22:20,new Section package and start doc pages and build scripts,0.0
dcc5472,2017-05-04T11:23:23,Merge pull request #452 from akohlmey/small-fixes-and-updates,0.0
fbddfe2,2017-05-04T11:23:39,Merge pull request #455 from stanmoore1/kokkos_update,0.0
f08e206,2017-05-04T11:23:55,Merge pull request #457 from stanmoore1/kokkos_ubuf,0.0
6499cfc,2017-05-04T11:24:11,Merge pull request #458 from stanmoore1/kokkos_sync_bugfix,0.0
4807278.0,2017-05-04T11:27:55,Starting to refactor in preparation to contruct OMP version.,0.0
51c6d50,2017-05-04T11:46:58,patch 4May17,0.0
2f71245,2017-05-04T13:00:06,"Removed extra ""helper"" functions.",0.0
349c144,2017-05-04T13:01:45,Cleanup.,0.0
5accce9,2017-05-04T13:02:09,Cleanup.,0.0
ffdc8b5,2017-05-04T13:03:09,Cleanup.,0.0
754b40c,2017-05-04T13:16:46,Removed unused functions.,0.0
d7dbff0,2017-05-04T14:46:59,jive Kokkos/reaxc file names with new user-reaxc file names,0.0
a73402a,2017-05-04T14:53:08,update src/Purge.list with renamed reaxc src files,0.0
f723000,2017-05-04T15:08:04,OpenMP version added.,0.0
4253138.0,2017-05-04T15:28:11,Cleanup of style (removing all tabs  shortened long lines).,0.0
f8af7ed,2017-05-06T16:00:22,Merge remote-tracking branch 'upstream/master' into python_refactoring,0.0
c4f90b3,2017-05-08T08:29:24,Merge pull request #449 from rbberger/python_refactoring,0.0
08ec557,2017-05-09T08:55:18,neighbor list bugfix to prevent cycle in copy lists,0.0
a6e2d5b,2017-05-09T10:32:25,Merge pull request #470 from lammps/integration,0.0
9cd994f,2017-05-09T15:35:48,fix issues with potential file parser,0.0
6c5edf6,2017-05-09T15:38:10,performance improvement through avoiding function call and dereference overhead,0.0
390ceb1,2017-05-09T15:49:37,whitespace cleanup,0.0
d0da063,2017-05-09T15:51:59,add a couple of simple example single/multi-elment inputs for meam/spline pair styles,0.0
3f4aee1,2017-05-09T15:57:35,implement overlooked changes from 4may2017 patch,0.0
29ae8d4,2017-05-09T17:15:07,correct broken links and references in documentation,0.0
9f7ce39,2017-05-09T18:14:34,correct some more omitted updates,0.0
abeb1e0,2017-05-10T11:19:18,add support for gzip compressed output to fix reax/bonds  reax/c/bonds and reax/c/species,0.0
cac1bf8,2017-05-10T19:41:48,Work around VTK 7 API change,0.0
c4ac577,2017-05-10T19:44:00,Fix segmentation fault in dump vtk,0.0
4ecf876,2017-05-10T19:48:54,Added two examples of using the VTK dump style,0.0
328ef87,2017-05-10T22:41:41,fix mixed memory alloc bug in dump custom. this closes #475,0.0
deff6ff,2017-05-11T09:22:25,Merge pull request #466 from DallasTrinkle/meam-spline-multicomponent,0.0
96d1de8,2017-05-11T09:24:35,Merge pull request #471 from akohlmey/fix-4may2017-issues,0.0
998eb44,2017-05-11T09:25:18,Merge pull request #473 from akohlmey/compress-for-reaxc-fixes,0.0
d7f5446,2017-05-11T09:25:42,Merge pull request #474 from rbberger/dump_vtk_fixes,0.0
a069d21,2017-05-11T09:27:08,Merge pull request #476 from akohlmey/dump_custom_bugfix,0.0
7c3b8e0,2017-05-11T10:15:28,rename some USER/misc dirs,0.0
27a6371,2017-05-11T19:18:09,implement a `python source` command as suggested in issue #454,0.0
d84f889,2017-05-11T22:39:08,implement functions to execute arbitrary python code from strings or files and recast the python source keyword through using them.,0.0
110bb79,2017-05-11T22:49:24,Implement fix python mentioned in issue #454,0.0
93f6033,2017-05-11T23:45:49,Add documentation about fix python,0.0
c4d0f07,2017-05-12T00:29:58,Allow fix python to only execute every N steps,0.0
b6a70ec,2017-05-12T00:34:47,fixup docs after last change,0.0
0008b6f,2017-05-12T08:54:12,Merge pull request #477 from lammps/renamings,0.0
06c1514,2017-05-12T13:28:20,Merge pull request #478 from akohlmey/add-python-source-cmd,0.0
c5db3ff,2017-05-12T23:27:58,two small doc corrections from Andrew Jewett for pair style gauss and dihedral style spherical,0.0
6aa0250,2017-05-12T23:40:24,corrections to pair style morse/smooth/linear contributed by David R. Heine,0.0
34cc394,2017-05-14T18:29:06,first few pieces of pair style python,0.0
86283c6,2017-05-15T00:13:32,make melt input consistent with melt example again,0.0
f484ab6,2017-05-15T00:14:36,completed lj parameter set and compute functions for melt example,0.0
6e113c1,2017-05-15T00:15:41,basic feature complete version of lj melt example with python interaction function,0.0
df55a90,2017-05-15T00:22:03,some example input file tweaks,0.0
d662f5d,2017-05-15T00:22:22,whitspace cleanup and gitignore update,0.0
6a1f7e6,2017-05-15T00:25:11,provide reference output for python pair style inputs,0.0
64cf52d,2017-05-15T15:55:15,address spline out-of-bounds bug reported in issue #59 and refactor high-level spline code for consistency and efficiency,0.0
fb7164a,2017-05-15T16:16:01,replace pow(x -0.5) with 1.0/sqrt(x),0.0
eb6f6a7,2017-05-15T16:16:12,dead code removal,0.0
0a40a7a,2017-05-15T17:00:41,whitespace cleanup,0.0
93cc6f4,2017-05-15T17:34:48,Use in syntax for key lookup for Python 3 compatibility,0.0
d9d4ef1,2017-05-15T17:44:25,add gao-weber potentials (regular and with ZBL core) with SiC potential files,0.0
69ccbd1,2017-05-15T17:45:36,Extract common wrappers to Python compatibility header,0.0
d66a696,2017-05-15T18:02:02,avoid preprocessor warnings  by placing Python.h include file on the top  as suggested by python docs,0.0
14f3dee,2017-05-15T18:43:46,Minor coefficient lookup improvement,0.0
a6f0d70,2017-05-15T18:44:52,Merge branch 'add-pair-python' of github.com:akohlmey/lammps into add-pair-python,0.0
51fc386,2017-05-16T00:26:18,correct the inner loop range for resetting cutoffs when redefining a pair style,0.0
d807ba1,2017-05-16T00:26:39,whitespace cleanup,0.0
66084ad,2017-05-16T04:27:15,fix typo in rerun docs. closes #486,0.0
ca87e57,2017-05-16T11:58:34,improved version of AIREBO splines based on a suggestion by markus hoehnerbach,0.0
c11e876,2017-05-16T14:18:56,implement second bugfix suggestion from @CF17 on issue #59,0.0
7f9a331,2017-05-16T15:51:41,bugfix for 2 recenty reported neighbor issues  also a ReaxFF fix species issue,0.0
