hash,time,message,buggy
6f23f65,2016-11-09 13:48:11,initial dummy version of fix_latte.cpp,0
7eb05b3,2016-11-09 13:48:11,initial dummy version of fix_latte.cpp,0
031d4ac,2016-11-09 13:48:11,initial dummy version of fix_latte.cpp,0
e59552c,2016-11-14 07:58:47,changes for lattelib,0
765fe3c,2016-11-14 07:58:47,changes for lattelib,0
f3d6ecf,2016-11-14 07:58:47,changes for lattelib,0
ef8d507,2016-11-14 16:11:12,changes in latte makefile for lattelib and README,0
f040f15,2016-11-14 16:11:12,changes in latte makefile for lattelib and README,0
b912db5,2016-11-14 16:11:12,changes in latte makefile for lattelib and README,0
1d93923,2016-11-21 12:21:01,USER-DPD: initial Kokkos port  first steps from Aug 24th ARL Kokkos hackathon atom_vec_dpd_kokkos pair_dpd_fdt_energy_kokkos without the Oct 7th VV support from e27ed6c,0
8f78157,2016-11-21 12:32:48,USER-DPD: aplly unpack_comm_hybrid bugfix d31121b to atom_vec_dpd_kokkos.cpp,0
7590791,2016-11-21 13:54:14,Integrating atom_vec_dpd into the Kokkos package,0
91e3872,2016-11-28 14:25:02,Adding pair_exp6_rx_kokkos files,0
6d94439,2016-11-28 14:42:47,Integrating pair_dpd_fdt_energy_kokkos files,0
d43bd57,2016-11-28 15:29:37,changes in fix_latte,0
f209c8c,2016-11-28 15:29:37,changes in fix_latte,0
fe99fc2,2016-11-28 15:29:37,changes in fix_latte,0
6e6776f,2016-11-30 16:25:07,Finish moving/integrating atom_vec_dpd_kokkos into the Kokkos package,0
3f68d37,2016-11-30 16:57:48,Merge branch 'master' into USER-DPD_kokkos: up to date to 30Nov16 patch,0
16b15a6,2016-12-01 14:50:11,updated version of fix latte from SJP,0
45b85b1,2016-12-01 14:50:11,updated version of fix latte from SJP,0
07d9f9d,2016-12-01 14:50:11,updated version of fix latte from SJP,0
5f78c2b,2016-12-01 15:14:47,test push,0
544e23f,2016-12-01 15:14:47,test push,0
ee4d1b3,2016-12-01 15:14:47,test push,0
1dbf6d4,2016-12-13 16:43:40,Adding Kokkos files,0
f93c62d,2016-12-13 16:54:00,Reverting accidental change,0
d47c6b2,2016-12-14 11:25:11,Merge branch 'master' into USER-DPD_kokkos,0
3e2cd6d,2016-12-14 11:46:04,Merging from master to 13Dec16 version,0
766b3fa,2016-12-14 11:49:49,Merge branch 'exaalt' of gitlab.com:exaalt/lammps into exaalt,0
cf40104,2016-12-14 12:50:52,Merge branch 'exaalt' of gitlab.com:exaalt/lammps into exaalt,0
a9d26b3,2016-12-14 12:58:02,Updates to Kokkos files,0
a58f763,2016-12-15 10:57:02,fix_latte unpdated,0
