hash,time,message,buggy
a4a97de,2015-04-08T10:45:49,A few GLE fixes,1.0
357d451,2015-04-08T10:46:50,Merge branch 'master' of github.com:lammps/lammps,0.0
229556.0,2015-07-03T15:43:29,Merge branch 'master' of github.com:lammps/lammps,0.0
9b7a0d7,2016-09-05T14:43:57,Update gitignore for the new USER-DPD source files.,0.0
8ed3f42,2016-09-05T15:05:23,USER-DPD: move custom binning stuff to a NBinSSA child class. Removes most SSA specific fields from class NeighList.,0.0
82c6eb4,2016-09-05T16:06:43,USER-DPD: Set missing NP_HALF flag in npair_half_bin_newton_ssa.h,0.0
c9c2ae6,2016-09-07T13:42:58,new neighbor list changes,0.0
81fcbcd,2016-09-07T16:06:38,USER-DPD: move nstencil_ssa out of core LAMMPS into USER-DPD,0.0
4553881.0,2016-09-09T13:11:55,Merge pull request #28 from timattox/new-neighbor,0.0
2f02d98,2016-09-09T13:53:07,remove USER-DPD files that should not be where they are,0.0
40f85c9,2016-09-09T14:10:42,corrected mismatched free() vs. delete[],1.0
212c261,2016-09-09T14:56:23,delete a couple more files  that don't belong into src/,0.0
32c2409,2016-09-09T15:17:42,USER-DPD: remove several files from src that came from src/USER-DPD/ These were accidentally added to git in c9c2ae6.,0.0
3842aa6,2016-09-09T15:23:40,forward skip lists /omp neighbor list builds to non-omp implementations,0.0
d22caf2,2016-09-09T15:28:56,Merge pull request #29 from timattox/new-neighbor,0.0
232abf8,2016-09-09T15:42:14,restore locale and enforce grep option squashing,0.0
ebabc8f,2016-09-09T15:46:20,Merge remote-tracking branch 'lammps-rw/integration' into update-neighbor,0.0
3b408d7,2016-09-29T10:53:40,Version 20 Sep 2016,0.0
27c3149,2016-09-29T10:54:59,Version 21 Sep 2016,0.0
473b12d,2016-09-29T10:55:10,Version 26 Sep 2016,0.0
d8bf149,2016-09-29T10:55:18,Version 28 Sep 2016,0.0
2551619.0,2016-09-29T10:55:26,Version 29 Sep 2016,0.0
5eb9dd0,2016-09-29T23:14:28,Merge branch 'master' into new-neighbor,0.0
be4734b,2016-09-30T11:57:15,Version 30 Sep 2016,0.0
114926a,2016-10-02T00:26:56,Merge branch 'master' into new-neighbor,0.0
d80a9de,2016-10-05T18:49:08,Version 5 Oct 2016,0.0
13b6eb1,2016-10-06T19:12:58,Version 6 Oct 2016,0.0
8540a9f,2016-10-11T17:10:24,Version 11 Oct 2016,0.0
ecb03dd,2016-10-11T23:03:18,import lammps-netcdf code as USER-NC-DUMP package,0.0
69cb831,2016-10-11T23:39:37,import dump nc and dump nc/mpiio from lammps-netcdf as USER-NC-DUMP package by lars pastewka,0.0
e10ea91,2016-10-11T23:51:42,add doc file to toctree,0.0
