hash,time,message,buggy
c8260af,2017-01-23T13:34:51,Possible uninitialized variable in USER-DPD/pair_exp6_rx.cpp bugfix.,0.0
31976d1,2017-01-23T19:20:05,skip list definition was missing NP_HALFFULL flag,0.0
b5cb74b,2017-01-23T19:21:48,skip list build is compatible with NP_GHOST,0.0
73177d6,2017-01-25T11:18:03,Fixing GPU memory issue in domain_kokkos,1.0
26c8d3d,2017-01-25T12:53:55,Fixing GPU memory issue in fix_langevin_kokkos,1.0
6328beb,2017-01-25T15:22:42,fix double-return warning,1.0
effbe18,2017-01-25T15:24:01,fix domain boundary indexing,1.0
3d40b51,2017-01-25T15:24:52,remove unused variable,0.0
60b48c9,2017-01-25T15:36:24,add missing KOKKOS_INLINE_FUNCTION attributes,0.0
1074c67,2017-01-25T15:37:27,add missing return keywords,0.0
053ee54,2017-01-25T15:38:41,remove unused variable,0.0
e992bfe,2017-01-25T15:40:52,remove unused variable,0.0
03c9c46,2017-01-25T15:49:05,add missing KOKKOS_INLINE_FUNCTION attributes,0.0
672bbbe,2017-01-25T16:03:11,add more missing KOKKOS_INLINE_FUNCTION attributes,0.0
cfe818a,2017-01-26T08:37:56,remove unused variables from fix_cmap,0.0
f0a4ed6,2017-01-26T08:46:03,add missing KOKKOS_INLINE_FUNCTION for params,0.0
6a74a81,2017-01-26T08:46:28,consistent #ifdefs for fft3d variable,0.0
cf95ea0,2017-01-26T08:50:18,fft3d: only declare variables when used,0.0
5b18421,2017-01-26T08:54:59,fft3d : remove unused variables,0.0
5b29515,2017-01-26T08:57:12,fft3d: use C++ loop declarations,0.0
2023fa2,2017-01-26T10:03:54,consistent #ifdefs for fft3d variable (2),0.0
b5d622c,2017-01-26T10:18:45,pppm_kokkos: remove unused variables,0.0
9daf7fb,2017-01-26T10:19:06,pppm_kokkos: don't shadow member variables,0.0
e5d0bde,2017-01-26T10:19:44,pppm_kokkos: remove useless statement,0.0
a5ff354,2017-01-26T13:45:45,Merge pull request #351 from timattox/USER-DPD_pair_exp6_bugfix,0.0
868d95f,2017-01-26T13:47:12,Merge pull request #352 from akohlmey/fix-skip-with-ghost-issue,0.0
5971d4c,2017-01-26T13:49:56,Merge pull request #358 from ibaned/warnings,0.0
851f804,2017-01-26T13:50:13,Merge pull request #361 from akohlmey/user-omp-fix-per-atom-data,0.0
18e5584,2017-01-26T13:51:47,Merge pull request #354 from stanmoore1/kokkos_bugfixes,0.0
f8506fe,2017-01-26T14:06:43,sync GHub with SVN,0.0
8b7bd9d,2017-01-26T14:59:10,fix bug where per atom data for USER-OMP was reducing the wrong arrays with hybrid styles,1.0
149f37e,2017-01-26T19:08:59,Corrected reference to Fig.1,0.0
09fc8b0,2017-01-27T08:21:57,kspace & dihedral can't do their own sync/modify,0.0
2a6f5e6,2017-01-27T09:17:48,more preference of datamask over custom sync,0.0
5afd3e9,2017-01-27T14:18:01,Adding support to npair_kokkos for triclinic-newton-on neighborlists,0.0
579cc6d,2017-01-27T15:13:37,More tweaks to npair_kokkos for triclinic,0.0
59f4a77,2017-01-27T15:17:39,Whitespace change to npair_kokkos,0.0
51a0b6b,2017-01-28T07:49:08,Fix data type of molecule array in npair_kokkos.h,1.0
033b07f,2017-01-30T07:26:49,Merge pull request #363 from ibaned/obey-datamask,0.0
997142a,2017-01-30T07:27:02,Merge pull request #364 from stanmoore1/kk_triclinic_neighlist,0.0
ed0a347,2017-01-30T10:31:50,Merge branch 'master' into user-cgdna,0.0
9ef55fe,2017-01-31T17:23:51,Merge branch 'kokkos_lammps_bigbig_fix' of https://github.com/rbberger/lammps into tagint-issue,0.0
fbe30b5,2017-01-31T18:13:44,correct issue with compiling for -DLAMMPS_BIGBIG in fix qeq/reax/kk,0.0
bcb1d94,2017-01-31T18:28:04,silence compiler warning about dead code,0.0
67bed8e,2017-01-31T18:34:35,Merge pull request #1 from akohlmey/tagint-issue,0.0
7ee45ec,2017-02-01T11:52:27,Fixing tagint and imageint issues in Kokkos package,1.0
ed59193,2017-02-01T17:39:06,Removed traces of pair morse/kk,0.0
6232073.0,2017-02-01T17:39:37,Removed traces of pair morse/kk,0.0
d4c9e25,2017-02-01T17:45:21,Ported Morse to KOKKOS,0.0
9d1991b,2017-02-02T08:10:23,remove support for obsolete legacy FFT libraries and point -DFFT_FFTW to FFTW3,0.0
6bcec9c,2017-02-02T08:57:21,Merge pull request #2 from stanmoore1/kk_tag_bugfixes,0.0
6595fde,2017-02-02T11:58:12,explain in more detail the handling of error checking for numerical inputs,0.0
daf9f95,2017-02-02T13:09:52,Fixing Kokkos per-atom e/v issue,1.0
38e0e4b,2017-02-02T13:24:05,Add missing typedef in Kokkos pair styles,0.0
6f92429,2017-02-02T13:34:27,Fixing per-atom ev issue,1.0
5da0d39,2017-02-02T13:35:51,Fixing fdotr in pair_buck_coul_cut_kokkos,1.0
0a87b74,2017-02-02T13:42:47,Updated contributing authors and docs,0.0
6a4918b,2017-02-02T13:43:21,Fixing typo in pair_buck_coul_cut_kokkos,1.0
1834a5e,2017-02-02T14:58:04,Fixing more Kokkos per-atom and fdotr issues,1.0
067119f,2017-02-02T15:13:51,Adding missing friend statement to pair_lj_class2_coul_cut_kokkos,0.0
dc34a32,2017-02-03T14:43:12,Merge pull request #362 from ibaned/warnings2,0.0
6ca3774,2017-02-03T14:43:33,Merge pull request #366 from rbberger/kokkos_lammps_bigbig_fix,0.0
84c5171,2017-02-03T14:45:07,Merge pull request #368 from Pakketeretet2/kokkos_morse,0.0
207adc3,2017-02-03T14:45:31,Merge pull request #373 from stanmoore1/kk_more_bugfixes,0.0
191453e,2017-02-03T16:53:10,Merge branch 'master' into fft-cleanup,0.0
27aca14,2017-02-04T15:02:08,Updated polarizer.py to use coul/long/cs,0.0
a5f830c,2017-02-08T14:31:11,fix typo,0.0
8c074a3,2017-02-08T14:32:44,Merge branch 'master' into small-updates-and-fixes,0.0
0efd209,2017-02-09T11:50:03,Merge branch 'master' into user-cgdna,0.0
fbb24c2,2017-02-10T09:22:22,Merge pull request #374 from agiliopadua/master,0.0
02b0e6c,2017-02-10T09:23:51,Merge pull request #375 from akohlmey/small-updates-and-fixes,0.0
0068ef5,2017-02-10T09:25:32,added molecule option to compute group/group command,0.0
2bdda8f,2017-02-13T08:40:54,patch 12Feb17 - change int to tagint for compute group/group,0.0
4843296.0,2017-02-13T08:53:13,Merge pull request #372 from akohlmey/fft-cleanup,0.0
cb982f2,2017-02-13T09:05:03,sync 13Feb17 patch back to GH,0.0
