hash,time,message,buggy
a4a97de,2015-04-08 10:45:49,A few GLE fixes,0
357d451,2015-04-08 10:46:50,Merge branch 'master' of github.com:lammps/lammps,0
0229556,2015-07-03 15:43:29,Merge branch 'master' of github.com:lammps/lammps,0
f784f07,2016-07-26 15:28:31,Set up branch with load balancing code from master,0
fc6270e,2016-07-29 16:35:03,Docs for load balance changes,0
85f5862,2016-07-29 16:39:17,Comments,0
66b4c9b,2016-08-01 18:58:52,implement modified version of balance and fix balance according to steve's suggestions and requirements,0
b8ae885,2016-08-01 18:59:37,update documentation according to the modified implementation based on iain bethune's contributed code,0
cc77679,2016-08-02 01:17:53,implement wall clock based load balancing cost function support,0
db734c3,2016-08-02 01:24:00,disable debug output and include bond cost as well,0
85cafde,2016-08-02 06:41:30,whitespace cleanup,0
7d08d99,2016-08-02 06:42:30,improve c++-11 compliance. replace variable size stack allocation.,0
f76f2c8,2016-08-02 07:32:44,minor tweaks and comment fixes,0
0b0db20,2016-08-02 08:09:39,make it so that dynamic load balancing only uses the timing since the last balancing,0
3cf6715,2016-08-02 16:53:12,be a bit more paranoid about initializing data structures,0
eb273ab,2016-08-02 16:54:03,fix elusive uninitialized data bug reported by valgrind,0
a5d38c0,2016-08-02 23:19:26,prototype implementation for extensible imbalance scheme,0
34b34d8,2016-08-03 13:43:39,complete implementation for group based imbalance class,0
23a4891,2016-08-03 18:34:24,re-factored balance command now works with group and time weights,0
4114baf,2016-08-04 02:02:34,proof-of-concept implementation for neighbor list based balancing with yet unsolved problems,0
8d38db0,2016-08-04 08:03:38,convert weight array from class member to local pointer to temporary storage,0
b20108b,2016-08-04 08:04:21,incorporate refactored weighting into fix balance,0
332d682,2016-08-04 08:18:55,remove unused class member,0
2574891,2016-08-04 08:28:40,fix optional argument scanning bug,0
c6699e1,2016-08-06 13:21:32,rewrote balancing to use per-atom data stored via fix property/atom,0
bb40f63,2016-08-06 14:39:09,we cannot add a fix while creating a fix. move fix addintion to Fix::init(),0
460bc14,2016-08-06 14:40:24,correct string hanlding with building custom property label,0
4a536d7,2016-08-06 14:40:58,simplify and correct logic to pass weight to balancer algorithms,0
ecc136b,2016-08-06 15:11:30,plug small memory leak,0
b954283,2016-08-06 15:47:01,properly handle the case of neighbor lists never been computed before,0
7e0dc7a,2016-08-06 19:30:17,whitespace cleanup,0
7f20afe,2016-08-06 19:31:09,convert from using fix property/atom to using fix store,0
0902b60,2016-08-06 22:48:59,add new imbalance module store  which allows to store weights in an atom property,0
33a98d7,2016-08-06 22:49:23,remove upper limit for weigh factor on neighbor list and time weights,0
fec59ee,2016-08-06 23:31:42,update documentation for refactored load-balancing,0
17c1d3a,2016-08-08 14:55:58,Fix typo,0
1976314,2016-08-10 20:52:49,improve the weight assignment algorithm for compute time based balancing,0
8492212,2016-08-13 01:58:37,fix bug found by coverity scan,0
40fd97b,2016-08-13 01:59:27,silence warnings about cases  that cannot happen,0
243137d,2016-08-22 15:23:16,undo obsoleted changes to group command by iain bethune,0
74b1caf,2016-08-22 15:46:01,undo changes that belong to a different branch or are redundant,0
89fc866,2016-08-23 15:45:00,Fixing bug on Macs,0
d007fac,2016-08-23 16:07:26,Fixing Kokkos output for number of OpenMP threads,0
7bf1d9b,2016-08-23 22:17:44,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15489 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
7646321,2016-08-23 22:21:04,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15490 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1e1f68c,2016-08-23 22:41:41,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15491 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
662335d,2016-08-23 22:44:48,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15492 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
647ffab,2016-08-23 22:45:54,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15493 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
a411023,2016-08-24 20:25:54,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15495 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
29d04c1,2016-08-24 20:31:41,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15496 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
e96ac8e,2016-08-25 16:55:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15497 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
bfb01b8,2016-08-25 16:59:45,Fixing compiler warning,0
67958a8,2016-08-25 17:03:56,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15499 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
484e726,2016-08-25 17:15:22,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15500 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
b2470fd,2016-08-25 17:19:46,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15501 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3366136,2016-08-26 15:43:13,Fixing Kokkos memory issue,0
cc4b2dd,2016-08-26 15:50:25,Changing default,0
8a7fecb,2016-08-26 16:32:11,Cleaning up code,0
56628fe,2016-08-26 18:17:16,Adding Kokkos warning,0
5348c1c,2016-08-26 18:37:44,Adding Kokkos warning,0
646d5bb,2016-08-26 20:03:55,Added check for undefined hbonds,0
90e6032,2016-08-27 22:18:45,new fix flow/gauss command,0
18d05e0,2016-08-27 22:37:35,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15509 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
5714890,2016-08-27 22:40:11,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15510 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
4f49acf,2016-08-27 22:40:37,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15511 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
0ec1040,2016-08-27 22:41:05,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15513 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
fc4e631,2016-08-27 22:41:46,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15514 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
57b24b5,2016-08-27 23:07:03,updated USER-MANIFOLD doc pages,0
a62bae7,2016-08-27 23:07:38,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15517 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
236241b,2016-08-27 23:09:15,sync with Git,0
2993aec,2016-08-29 22:52:03,sync with Git,0
958e3e6,2016-08-29 23:49:20,sync with Git,0
dbaaf4d,2016-08-30 17:52:49,Removing aggressive_vectorization flag due to safety issue,0
ba444a4,2016-08-30 19:33:56,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15522 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
76acb8c,2016-08-30 23:18:07,Fixing Kokkos memory issue,0
10edfa2,2016-08-31 06:42:00,Merge branch 'integration' into weighted-balancing,0
82859c4,2016-08-31 15:57:02,Merge branch 'integration' into weighted-balancing,0
93401a8,2016-08-31 15:58:33,reintroduce pointer nullification for fix balance,0
eac7217,2016-08-31 16:34:51,Merge remote-tracking branch 'lammps-rw/integration' into weighted-balancing,0
9d8027c,2016-08-31 19:25:08,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15524 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
8f64398,2016-08-31 19:25:40,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15525 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
e3d0a32,2016-08-31 20:10:32,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15526 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
083ff54,2016-08-31 20:26:15,small bug fixes,0
93c6c26,2016-08-31 21:08:32,sync with Git,0
bcb2e6d,2016-08-31 21:10:51,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15529 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
ae45849,2016-08-31 21:11:34,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15530 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
fab2f01,2016-08-31 22:20:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15531 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
f94bbc0,2016-08-31 22:21:11,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15532 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
159d722,2016-09-01 01:55:31,removing searchindex.js,0
3769f90,2016-09-01 01:58:35,chunk doc pages,0
0f7873c,2016-09-01 08:26:08,Merge branch 'integration' into weighted-balancing,0
b4785cd,2016-09-01 20:53:40,Adding Kokkos version of PPPM,0
a4914bc,2016-09-01 21:01:23,Adding Kokkos version of PPPM,0
519a3ee,2016-09-01 21:45:00,Adding Kokkos version of PPPM,0
fc80281,2016-09-02 22:45:29,Fixing bugs in per-atom,0
9b7a0d7,2016-09-05 14:43:57,Update gitignore for the new USER-DPD source files.,0
8ed3f42,2016-09-05 15:05:23,USER-DPD: move custom binning stuff to a NBinSSA child class. Removes most SSA specific fields from class NeighList.,0
82c6eb4,2016-09-05 16:06:43,USER-DPD: Set missing NP_HALF flag in npair_half_bin_newton_ssa.h,0
688b1f1,2016-09-06 14:06:59,Fixing bug in Kokkos ReaxFF,0
c21cf03,2016-09-06 16:33:48,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15540 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1e11d2d,2016-09-06 16:38:58,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15541 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
4282107,2016-09-06 16:39:57,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15543 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
