hash,time,message,buggy
9b7a0d7,2016-09-05 14:43:57,Update gitignore for the new USER-DPD source files.,0
8ed3f42,2016-09-05 15:05:23,USER-DPD: move custom binning stuff to a NBinSSA child class. Removes most SSA specific fields from class NeighList.,0
82c6eb4,2016-09-05 16:06:43,USER-DPD: Set missing NP_HALF flag in npair_half_bin_newton_ssa.h,0
c9c2ae6,2016-09-07 13:42:58,new neighbor list changes,0
81fcbcd,2016-09-07 16:06:38,USER-DPD: move nstencil_ssa out of core LAMMPS into USER-DPD,0
4553881,2016-09-09 13:11:55,Merge pull request #28 from timattox/new-neighbor,0
2f02d98,2016-09-09 13:53:07,remove USER-DPD files that should not be where they are,0
40f85c9,2016-09-09 14:10:42,corrected mismatched free() vs. delete[],0
212c261,2016-09-09 14:56:23,delete a couple more files  that don't belong into src/,0
32c2409,2016-09-09 15:17:42,USER-DPD: remove several files from src that came from src/USER-DPD/ These were accidentally added to git in c9c2ae6.,0
3842aa6,2016-09-09 15:23:40,forward skip lists /omp neighbor list builds to non-omp implementations,0
d22caf2,2016-09-09 15:28:56,Merge pull request #29 from timattox/new-neighbor,0
232abf8,2016-09-09 15:42:14,restore locale and enforce grep option squashing,0
ebabc8f,2016-09-09 15:46:20,Merge remote-tracking branch 'lammps-rw/integration' into update-neighbor,0
5eb9dd0,2016-09-29 23:14:28,Merge branch 'master' into new-neighbor,0
114926a,2016-10-02 00:26:56,Merge branch 'master' into new-neighbor,0
7a45c72,2016-10-27 18:31:06,Allow extended Lagrangian on non-scalar collective variables,0
bda0730,2016-11-07 14:59:25,Modified the quip/lammps interface to pass lammps atom ids,0
031d4ac,2016-11-09 13:48:11,initial dummy version of fix_latte.cpp,0
7eb05b3,2016-11-09 13:48:11,initial dummy version of fix_latte.cpp,0
6f23f65,2016-11-09 13:48:11,initial dummy version of fix_latte.cpp,0
f3d6ecf,2016-11-14 07:58:47,changes for lattelib,0
e59552c,2016-11-14 07:58:47,changes for lattelib,0
765fe3c,2016-11-14 07:58:47,changes for lattelib,0
b912db5,2016-11-14 16:11:12,changes in latte makefile for lattelib and README,0
ef8d507,2016-11-14 16:11:12,changes in latte makefile for lattelib and README,0
f040f15,2016-11-14 16:11:12,changes in latte makefile for lattelib and README,0
1d93923,2016-11-21 12:21:01,USER-DPD: initial Kokkos port  first steps from Aug 24th ARL Kokkos hackathon atom_vec_dpd_kokkos pair_dpd_fdt_energy_kokkos without the Oct 7th VV support from e27ed6c,0
8f78157,2016-11-21 12:32:48,USER-DPD: aplly unpack_comm_hybrid bugfix d31121b to atom_vec_dpd_kokkos.cpp,0
7590791,2016-11-21 13:54:14,Integrating atom_vec_dpd into the Kokkos package,0
ae70f10,2016-11-22 12:05:14,added readme for grem examples,0
d58dd4f,2016-11-22 12:13:20,bugfix when parsing mpirun,0
237307e,2016-11-22 12:16:00,small typo and changes,0
647c6f0,2016-11-22 14:51:19,Merge branch 'grem-feature' of https://github.com/dstelter92/lammps into collected-updates-and-bugfixes,0
df46b9a,2016-11-22 15:25:59,rename compute pressure/grem to compute PRESSURE/GREM,0
8778177,2016-11-23 09:02:32,fix typo and USER-OMP support omission,0
6759630,2016-11-23 17:08:36,bug fix for dump sort in descending order,0
470908f,2016-11-24 05:46:15,explicitly disallow dynamic groups with compute rdf,0
02ae2d2,2016-11-28 11:34:22,correct broken link to USER-SMD docs PDF,0
91e3872,2016-11-28 14:25:02,Adding pair_exp6_rx_kokkos files,0
6d94439,2016-11-28 14:42:47,Integrating pair_dpd_fdt_energy_kokkos files,0
d43bd57,2016-11-28 15:29:37,changes in fix_latte,0
fe99fc2,2016-11-28 15:29:37,changes in fix_latte,0
f209c8c,2016-11-28 15:29:37,changes in fix_latte,0
5ff5bc2,2016-11-28 21:34:35,avoid issues detected by coverity scan,0
42d4301,2016-11-29 07:24:09,fix typo in compute cluster/atom docs,0
789e623,2016-11-29 09:03:53,simplify code,0
1d970d3,2016-11-29 12:15:39,dihedral_nharmonic: added writing coefficient by write_data,0
7d098bf,2016-11-29 12:47:19,update format,0
7ddb667,2016-11-30 00:12:35,fix typo,0
beb5a30,2016-11-30 14:01:27,new compute global/atom command  also bug fix for descending dump sorts,0
d14814a,2016-11-30 14:02:41,Merge pull request #289 from akohlmey/collected-updates-and-bugfixes,0
fb3f597,2016-11-30 14:04:41,30Nov16 patch,0
6e6776f,2016-11-30 16:25:07,Finish moving/integrating atom_vec_dpd_kokkos into the Kokkos package,0
3f68d37,2016-11-30 16:57:48,Merge branch 'master' into USER-DPD_kokkos: up to date to 30Nov16 patch,0
07d9f9d,2016-12-01 14:50:11,updated version of fix latte from SJP,0
45b85b1,2016-12-01 14:50:11,updated version of fix latte from SJP,0
16b15a6,2016-12-01 14:50:11,updated version of fix latte from SJP,0
ee4d1b3,2016-12-01 15:14:47,test push,0
5f78c2b,2016-12-01 15:14:47,test push,0
544e23f,2016-12-01 15:14:47,test push,0
8318c67,2016-12-07 13:00:27,Kokkos neighbor refactor,0
39a12b1,2016-12-07 13:40:14,Merge branch 'master' into new-neighbor,0
7c61dbf,2016-12-07 13:43:04,Merge branch 'new-neighbor' of github.com:akohlmey/lammps into new-neighbor,0
d3d5ac1,2016-12-07 19:37:51,Fixed small typos in doc,0
9b48c49,2016-12-08 09:18:55,Removing used Kokkos file,0
4354213,2016-12-09 08:37:01,Small tweaks to Kokkos neighbor,0
ddf678d,2016-12-09 14:30:27,make fix gcmc command overview consistent,0
cdcebab,2016-12-09 14:43:56,make the output of the %CPU/OpenMP threads line consistent with compiling in OpenMP support  not having USER-OMP installed,0
eff503e,2016-12-09 15:39:46,Prevent neighbor list copies between SSA and non-SSA neighbor list requests.,0
5187cb9,2016-12-09 15:42:27,"USER-DPD: Make fix_shardlow request its own SSA-specific neighbor list  instead of having pair_dpd_fdt* make the SSA-neighbor list request for it. Forces an ""extra"" list to be built  but now skip lists work properly. Maybe we can detect if skip lists won't be used  and squash the extra list.",0
43c459b,2016-12-09 15:56:55,More changes for Kokkos neighbor,0
586514e,2016-12-09 16:08:08,Merge branch 'new-neighbor' into new-neighbor,0
0f3b254,2016-12-09 16:08:31,Merge pull request #1 from timattox/new-neighbor,0
31be0da,2016-12-09 16:17:35,Merging pull request,0
a5e46e3,2016-12-09 16:20:42,Merging,0
b5c3d2f,2016-12-09 17:51:35,Merge pull request #52 from timattox/new-neighbor,0
a31b009,2016-12-12 09:18:20,Updating to master,0
770f5d0,2016-12-12 09:24:37,Whitespace change,0
baf55c9,2016-12-12 09:25:41,Whitespace change,0
13b6196,2016-12-12 10:47:39,Fixing Kokkos compile error,0
b34be30,2016-12-12 13:18:03,Merge pull request #53 from stanmoore1/new-neighbor,0
fda43c0,2016-12-12 13:22:54,add deleted file in package to purge list,0
