hash,time,message,buggy
bda0730,2016-11-07 14:59:25,Modified the quip/lammps interface to pass lammps atom ids,0
6f23f65,2016-11-09 13:48:11,initial dummy version of fix_latte.cpp,0
7eb05b3,2016-11-09 13:48:11,initial dummy version of fix_latte.cpp,0
031d4ac,2016-11-09 13:48:11,initial dummy version of fix_latte.cpp,0
e59552c,2016-11-14 07:58:47,changes for lattelib,0
765fe3c,2016-11-14 07:58:47,changes for lattelib,0
f3d6ecf,2016-11-14 07:58:47,changes for lattelib,0
f040f15,2016-11-14 16:11:12,changes in latte makefile for lattelib and README,0
ef8d507,2016-11-14 16:11:12,changes in latte makefile for lattelib and README,0
b912db5,2016-11-14 16:11:12,changes in latte makefile for lattelib and README,0
1d93923,2016-11-21 12:21:01,USER-DPD: initial Kokkos port  first steps from Aug 24th ARL Kokkos hackathon atom_vec_dpd_kokkos pair_dpd_fdt_energy_kokkos without the Oct 7th VV support from e27ed6c,0
8f78157,2016-11-21 12:32:48,USER-DPD: aplly unpack_comm_hybrid bugfix d31121b to atom_vec_dpd_kokkos.cpp,0
7590791,2016-11-21 13:54:14,Integrating atom_vec_dpd into the Kokkos package,0
91e3872,2016-11-28 14:25:02,Adding pair_exp6_rx_kokkos files,0
6d94439,2016-11-28 14:42:47,Integrating pair_dpd_fdt_energy_kokkos files,0
f209c8c,2016-11-28 15:29:37,changes in fix_latte,0
d43bd57,2016-11-28 15:29:37,changes in fix_latte,0
fe99fc2,2016-11-28 15:29:37,changes in fix_latte,0
6e6776f,2016-11-30 16:25:07,Finish moving/integrating atom_vec_dpd_kokkos into the Kokkos package,0
3f68d37,2016-11-30 16:57:48,Merge branch 'master' into USER-DPD_kokkos: up to date to 30Nov16 patch,0
16b15a6,2016-12-01 14:50:11,updated version of fix latte from SJP,0
45b85b1,2016-12-01 14:50:11,updated version of fix latte from SJP,0
07d9f9d,2016-12-01 14:50:11,updated version of fix latte from SJP,0
544e23f,2016-12-01 15:14:47,test push,0
ee4d1b3,2016-12-01 15:14:47,test push,0
5f78c2b,2016-12-01 15:14:47,test push,0
1dbf6d4,2016-12-13 16:43:40,Adding Kokkos files,0
f93c62d,2016-12-13 16:54:00,Reverting accidental change,0
d47c6b2,2016-12-14 11:25:11,Merge branch 'master' into USER-DPD_kokkos,0
3e2cd6d,2016-12-14 11:46:04,Merging from master to 13Dec16 version,0
766b3fa,2016-12-14 11:49:49,Merge branch 'exaalt' of gitlab.com:exaalt/lammps into exaalt,0
cf40104,2016-12-14 12:50:52,Merge branch 'exaalt' of gitlab.com:exaalt/lammps into exaalt,0
a9d26b3,2016-12-14 12:58:02,Updates to Kokkos files,0
a58f763,2016-12-15 10:57:02,fix_latte unpdated,0
c0d6cbb,2016-12-15 11:18:50,Updates to Kokkos files,0
d5f8f36,2016-12-15 15:48:09,Change to fix_property_atom to allow virtual override of grow_arrays() function,0
a3c1d38,2016-12-15 15:50:30,Adding Kokkos version of fix_property_atom,0
f47a40b,2016-12-16 10:02:01,Fixing Kokkos memory deallocation issue,0
d93e3d1,2016-12-16 10:06:12,Fixing runtime issues with pair_exp6_rx_kokkos,0
cfa61b9,2016-12-16 12:37:41,Fixing runtime issues in fix_eos_table_rx_kokkos,0
8474453,2016-12-16 15:02:41,Merge branch 'master' into USER-DPD_kokkos: as of 17Dec16 patch,0
5cae3ec,2016-12-16 17:09:19,Whitespace cleanup to pair_dpd_fdt_energy  should be cherry-picked to Master,0
ac57f47,2016-12-16 17:14:27,Small whitespace tweak to pair_dpd_fdt_energy,0
21bb603,2016-12-19 13:30:00,Porting recent changes from USER-DPD package to KOKKOS package,0
3f1f51c,2016-12-19 13:31:09,Changes necessary for runtime testing of Kokkos styles,0
000df6e,2016-12-19 15:20:10,Fixing what seems to be a Kokkos bug  I will submit to Kokkos lib developers too,0
99910fc,2016-12-19 15:27:16,Adding CPU runtime tested version of pair_dpd_fdt_energy_kokkos,0
6f51c3b,2016-12-19 16:25:31,Fixing issues in pair_multi_lucy_rx_kokkos,0
f62a6fe,2016-12-19 16:50:22,Renaming rand_pool_wrap to rand_pool_wrap_kokkos,0
889ee78,2016-12-19 17:15:02,Change necessary for pair_exp6_rx_kokkos to compile on GPU,0
07bee39,2016-12-20 12:23:02,Merge branch 'USER-DPD_whitespace' into USER-DPD_kokkos,0
35803c7,2016-12-20 17:03:46,Fixing issues found during GPU runtime testing,0
