hash,time,message,buggy
a4a97de,2015-04-08 10:45:49,A few GLE fixes,0
357d451,2015-04-08 10:46:50,Merge branch 'master' of github.com:lammps/lammps,0
0229556,2015-07-03 15:43:29,Merge branch 'master' of github.com:lammps/lammps,0
f784f07,2016-07-26 15:28:31,Set up branch with load balancing code from master,0
fc6270e,2016-07-29 16:35:03,Docs for load balance changes,0
85f5862,2016-07-29 16:39:17,Comments,0
5b5f839,2016-07-30 16:08:42,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15409 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
fd05571,2016-07-30 16:09:11,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15410 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
7ec3c90,2016-07-30 16:09:32,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15411 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
26622f2,2016-07-30 18:40:03,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15412 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
6ff87be,2016-07-30 21:24:55,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15413 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
66b4c9b,2016-08-01 18:58:52,implement modified version of balance and fix balance according to steve's suggestions and requirements,0
b8ae885,2016-08-01 18:59:37,update documentation according to the modified implementation based on iain bethune's contributed code,0
ce5f174,2016-08-01 20:35:57,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15414 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
0995ab4,2016-08-01 20:55:29,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15415 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
a9a8a59,2016-08-01 21:01:23,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15416 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
e6c5898,2016-08-01 21:11:50,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15417 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
98aee05,2016-08-01 21:30:11,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15418 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
69513a2,2016-08-01 22:40:49,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15419 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1cdd1fd,2016-08-01 22:43:21,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15420 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
7326f88,2016-08-01 22:56:43,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15422 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
56502c7,2016-08-01 22:57:27,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15423 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
cc77679,2016-08-02 01:17:53,implement wall clock based load balancing cost function support,0
db734c3,2016-08-02 01:24:00,disable debug output and include bond cost as well,0
85cafde,2016-08-02 06:41:30,whitespace cleanup,0
7d08d99,2016-08-02 06:42:30,improve c++-11 compliance. replace variable size stack allocation.,0
f76f2c8,2016-08-02 07:32:44,minor tweaks and comment fixes,0
0b0db20,2016-08-02 08:09:39,make it so that dynamic load balancing only uses the timing since the last balancing,0
3cf6715,2016-08-02 16:53:12,be a bit more paranoid about initializing data structures,0
eb273ab,2016-08-02 16:54:03,fix elusive uninitialized data bug reported by valgrind,0
a5d38c0,2016-08-02 23:19:26,prototype implementation for extensible imbalance scheme,0
34b34d8,2016-08-03 13:43:39,complete implementation for group based imbalance class,0
38226b8,2016-08-03 16:09:38,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15426 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
a6ade15,2016-08-03 16:29:25,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15427 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
be6c086,2016-08-03 16:29:35,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15428 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
23a4891,2016-08-03 18:34:24,re-factored balance command now works with group and time weights,0
1f65184,2016-08-03 19:31:52,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15429 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
efaa84a,2016-08-03 19:32:03,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15430 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
a93e6e8,2016-08-03 19:39:58,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15431 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
677da2e,2016-08-03 19:40:39,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15432 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
4114baf,2016-08-04 02:02:34,proof-of-concept implementation for neighbor list based balancing with yet unsolved problems,0
8d38db0,2016-08-04 08:03:38,convert weight array from class member to local pointer to temporary storage,0
b20108b,2016-08-04 08:04:21,incorporate refactored weighting into fix balance,0
332d682,2016-08-04 08:18:55,remove unused class member,0
2574891,2016-08-04 08:28:40,fix optional argument scanning bug,0
0bffc17,2016-08-04 16:39:15,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15435 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
9a9897c,2016-08-05 15:07:34,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15436 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3fe162a,2016-08-05 15:11:09,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15437 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
091fb71,2016-08-05 15:14:06,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15438 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
82a29a8,2016-08-05 15:14:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15439 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
e09caf8,2016-08-05 15:17:23,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15440 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
42cc69b,2016-08-05 15:17:36,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15441 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
ce7581b,2016-08-05 15:38:38,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15442 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2d694f9,2016-08-05 15:50:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15444 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
7541033,2016-08-05 15:50:41,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15445 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
32c8c9d,2016-08-05 16:27:48,clarified energy contribution to minimization energy,0
1780c86,2016-08-05 17:53:52,Fixed error in ave/time version,0
96a73d5,2016-08-05 18:16:10,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15450 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
36a0c64,2016-08-05 18:21:12,Attempted to straighten out italics,0
9a3b988,2016-08-05 18:28:02,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15452 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
390b492,2016-08-05 18:28:23,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15453 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
30d6007,2016-08-05 20:45:14,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15454 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
decd072,2016-08-05 20:58:38,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15455 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
0029040,2016-08-05 22:12:27,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15456 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
c6699e1,2016-08-06 13:21:32,rewrote balancing to use per-atom data stored via fix property/atom,0
bb40f63,2016-08-06 14:39:09,we cannot add a fix while creating a fix. move fix addintion to Fix::init(),0
460bc14,2016-08-06 14:40:24,correct string hanlding with building custom property label,0
4a536d7,2016-08-06 14:40:58,simplify and correct logic to pass weight to balancer algorithms,0
ecc136b,2016-08-06 15:11:30,plug small memory leak,0
b954283,2016-08-06 15:47:01,properly handle the case of neighbor lists never been computed before,0
7e0dc7a,2016-08-06 19:30:17,whitespace cleanup,0
7f20afe,2016-08-06 19:31:09,convert from using fix property/atom to using fix store,0
0902b60,2016-08-06 22:48:59,add new imbalance module store  which allows to store weights in an atom property,0
33a98d7,2016-08-06 22:49:23,remove upper limit for weigh factor on neighbor list and time weights,0
fec59ee,2016-08-06 23:31:42,update documentation for refactored load-balancing,0
056ff19,2016-08-08 13:47:55,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15459 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
17e8e9a,2016-08-08 13:48:22,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15460 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
563e069,2016-08-08 13:50:31,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15461 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
17c1d3a,2016-08-08 14:55:58,Fix typo,0
550be1d,2016-08-08 19:41:43,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15462 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
59dc83e,2016-08-09 04:08:01,Fix resource leak,0
33a87a4,2016-08-09 04:11:05,Return 2D vectors in 2D cases,0
691de01,2016-08-09 04:11:42,Allow setting the position of atoms,0
8b1ef1c,2016-08-09 09:33:15,import updated pair lj/sf/dipole/sf files from sam genheden,0
