hash,time,message,buggy
07bb95f,9/17/2013 16:16,all_tri() refactored to be more general.,0
32e7709,9/23/2013 13:22,Comment  refactor Prism splittings,0
86a334b,9/25/2014 9:24,Fix namespace issue,1
e176d1a,10/29/2014 12:59,Use new BoundaryInfo accessor.,0
debb7b3,10/28/2015 9:13,Use new Functor style,0
6fac4fd,10/28/2015 9:17,More perf logging,0
1e71be5,10/28/2015 11:44,Optimize evaluations at vertex nodes,0
4e58973,10/28/2015 12:14,Use interpolation on LAGRANGE edges  too,0
001e5b1,10/29/2015 21:33,Synchronize dofs on formerly-hanging nodes,0
5d5bff1,10/30/2015 9:48,Clean up from SVN merge.,0
596ea00,10/30/2015 9:49,Update .mailmap file.,0
2f8e8b2,10/30/2015 13:44,Copy functors appropriately,0
6d190d2,10/31/2015 7:43,Merge pull request #696 from roystgnr/reoptimize_projections,0
8f6dcfb,11/1/2015 10:05,Update traffic.,0
dceb57a,11/1/2015 10:12,Add missing libmesh_overrides noted by Xujun Zhao.,0
c7d0e23,11/1/2015 12:23,Clean up AutoPtr atavisms.,0
f3103cd,11/1/2015 12:58,Fix warnings when !LIBMESH_HAVE_EXODUS_API.,1
4a8b24f,11/1/2015 13:05,Fix warning when !LIBMESH_HAVE_PARMETIS.,1
5e2f969,11/1/2015 13:09,Fix warnings when !LIBMESH_HAVE_MPI.,1
134d833,11/1/2015 13:24,Update statistics for October 2015.,0
6ae276f,11/1/2015 14:51,Set interior parent only when mesh contains multiple dimensions,0
e83ab41,11/1/2015 15:48,Implement fixes suggested by cppclean.,0
7fba562,11/2/2015 9:05,Minor clean-up/reformatting in UCDIO.,0
d48de0b,11/2/2015 9:42,Add static ElementType lookup tables.,0
e40e4a9,11/2/2015 11:08,Read/write Elem::subdomain_id() as UCD material id.,0
55cf08f,11/2/2015 14:12,Merge pull request #700 from jwpeterson/ucd,0
4a093d2,11/2/2015 15:06,Fix for reduced_basis_ex2.,1
daba1a8,11/2/2015 15:19,Fix for reduced_basis_ex7.,1
d28aaf2,11/2/2015 16:44,Fix a few unit tests for complex-enabled builds.,1
681bab5,11/2/2015 16:44,Fix a few unit tests for complex-enabled builds.,1
c538f44,11/3/2015 8:30,Merge pull request #702 from jwpeterson/complex_fixes,0
2682ece,11/3/2015 8:47,Disable reduced_basis_ex6 if libmesh is configured with --enable-blocked-storage.,0
acc4cc5,11/3/2015 9:39,Better document known failure in reduced_basis_ex7.,0
2a37a05,11/4/2015 12:21,Ensure the list of ids is unique in BoundaryInfo::add_{side node}().,0
2a693a9,11/4/2015 12:44,Deprecate vector versions of BoundaryInfo::add_{side node edge}().,0
fa1808c,11/4/2015 13:33,Add and use typedefs for common BoundaryInfo iterator types.,0
38a75a5,11/4/2015 14:07,Misc. fixes to mixed_dim_mesh_test.C,0
f6c56c1,11/4/2015 14:19,Delete commented-out for_each functors.,0
df89594,11/4/2015 14:55,Refactor remaining std::make_pair uses.,0
3fd13bd,11/4/2015 21:24,Updated BoundaryInfo::sync so that we can get the node and side id maps that are used internally.,0
