hash,time,message,buggy
079b2d3,2011-02-03T22:19:23,Use one fewer refinements by default for a quick test,0.0
dd62111,2011-02-03T22:26:48,Fix new examples for --enable-complex,1.0
9e49ab3,2011-02-07T19:54:17,Generalize PETSc-specific example code,0.0
8160c22,2011-02-07T19:54:42,Generalize PETSc-specific comments,0.0
c8f2acc,2011-02-07T23:45:07,Some more cleanup of the new examples,0.0
629852e,2011-02-09T17:02:42,The new examples require 2D support,0.0
08e2bd9,2011-02-09T17:03:33,Include header for numeric_limits directly,0.0
3884f44,2011-02-09T17:04:17,If someone tries to load a mesh of unsupported dimension  a sensible error at read time is better than a nasty error during postprocessing,0.0
7277c9d,2011-02-15T18:05:42,Removing DiffContext::request_jacobian - DiffSystem never got around to making it non-redundant or even using it  and the other systems might never want to use it.,0.0
1eb54e9,2011-02-15T21:10:11,Fixing bugs in Exodus writer/Iterators must be used if elements are deleted in the mesh,1.0
d28e1c4,2011-02-16T19:00:09,A few more iterator updates in the Exodus interface,0.0
ca48d5c,2011-02-21T17:11:25,Fixes from Roman Vetter for data imprecision  bugs in VTK output,1.0
f8d729e,2011-02-21T17:12:02,Remove excess chatter from VTK output,0.0
1f35f72,2011-02-22T18:29:55,Added ex28: Subdomain-Restricted Variables  from Ben,0.0
94cd042,2011-02-23T21:29:02,Checking in a major revision to rbOOmit. 1) Added RBEvaluation (and subclasses)  which factors out the parts of RBSystem needed to perform an RB_Solve. 2) Added RBComponent and related classes which allows us to connect RB models together using a substructuring approach.,0.0
469c37f,2011-02-23T21:41:52,small fix for complex number support,1.0
76ff3125,2011-02-24T02:26:20,these rbOOmit classes need some more work first...,0.0
6c7e250,2011-02-24T02:36:11,updated config.guess and support for gcc-4.6,0.0
951fab2,2011-02-24T16:34:44,Fix compilation failures in no-slepc  no-glpk cases,1.0
4eaedcb,2011-02-25T20:03:25,Copy associated BoundaryInfo when copying any Mesh,0.0
a8d14ca,2011-02-25T23:38:06,Changed initialize_calN_dependent_data to initialize_mesh_dependent_data  a more descriptive name. Also  small change to argument list for constructors in (QN)TransientRBEvaluation.,0.0
8eb53c8,2011-02-28T21:25:22,Fix for Tet10::has_affine_map() based on patch from Johannes Huber,1.0
83d7f94,2011-02-28T23:23:34,Patch from Roman Vetter for (serial) VTK output of parallel data.,1.0
8b4bc0a,2011-03-01T17:56:01,Patch based on Vikram Garg's work to enable patch recovery of seminorm errors based on individual gradient components,1.0
82d895c,2011-03-01T19:55:11,Don't let virtual functions get called indirectly from non-leaf constructor.,0.0
dcbb990,2011-03-01T20:32:27,Switch a couple non-adaptive examples to VTKIO now that that works in parallel.,0.0
7b0273a,2011-03-01T23:07:24,Fix for uses of topological_neighbor() that could break down on some partitionings.,1.0
817d7dd,2011-03-02T16:03:51,Checking in David Andrs' changes to PetscVector for detecting whether the type is ghosted or MPI.,0.0
284c2f6,2011-03-02T17:02:04,VTKIO fix for LIBMESH_DIM < 3,1.0
b420237,2011-03-02T17:23:36,PetscVector changes compilation fix,1.0
f8260e5,2011-03-02T17:47:33,"Support PETSc 2.x.x where VecType was #define'd to ""const char*"". This changed in 3.0.0 to be char*.",0.0
58c9342,2011-03-02T20:38:14,Moving some const initializations to headers  and where appropriate changing external to internal linkages - there's no reason not to let compilers do a little better job optimizing here.,0.0
891da81,2011-03-03T22:59:10,Needed to include string.h for gcc version 4.4.3,0.0
667cb30,2011-03-03T23:00:36,Make sure the square of the residual dual norm is non-negative,0.0
39db53d,2011-03-04T03:41:17,Added LAPACK-based svd to DenseMatrix,0.0
e47886c,2011-03-04T03:49:20,PETSc convergence reasons patch from Roman Vetter,0.0
83755bb,2011-03-04T03:58:10,Patch from Roman Vetter (and comments from myself) allowing System::project_vector to handle new element creation,0.0
8e587c0,2011-03-04T16:15:09,Get rid of a magic number  sign conversion warning,0.0
01e4298,2011-03-04T16:51:01,Compilation fix for --enable-complex,1.0
bf7e16b,2011-03-04T18:47:22,In PETSc versions less than 3  don't name input parameter to avoid unused parameter warnings from compiler.,0.0
