hash,time,message,buggy
b0bb0c4,2013-02-06T00:51:03,Check version for petsc-dev,0.0
52b073a,2013-04-15T09:07:14,DofMap can report if it is capable of using blocked storage,0.0
46ff3ed,2013-04-15T09:38:47,support for --enable-blocked-storage,0.0
7e846a4,2013-04-15T14:33:29,PETSc BAIJ support,0.0
0fb83f8,2013-04-15T15:27:10,trivial formatting,0.0
df2b0c5,2013-04-16T09:01:03,extend blocksize option to matrices init()ed without the help of the DofMap,0.0
09bec81,2013-04-16T11:37:27,towards add_block_matrix(),0.0
633e74c,2013-04-18T21:10:45,Switch some cout/cerr uses to libMesh::out/err,0.0
1f54c64,2013-04-20T12:35:49,"Not every node of ""this_mesh"" needs to be stitched.",0.0
1b33ceb,2013-04-20T20:44:01,Need to do one final comparison for fuzzy_binary_find.,0.0
cb58eeb,2013-04-21T15:40:21,Adding version of Utility::binary_find() that takes a custom comparison object.,0.0
5771c42,2013-04-21T15:53:10,Use TOLERANCE while sorting the points  this tolerance is independent of the point matching tolerance asked for by the user.,0.0
1c4b6a0,2013-04-22T07:29:34,metis refresh,0.0
e80824e,2013-04-22T07:34:28,refresh parmetis,0.0
e5fbb39,2013-04-22T07:36:32,generated files,0.0
6461d25,2013-04-22T07:50:36,use LIBMESH_TLS instead of __thread,0.0
f1c6271,2013-04-22T13:09:42,Merge pull request #96 from roystgnr/libmesh_out_err,0.0
1e994fe,2013-04-22T21:19:48,Switching to relative tolerance check (relative to the smallest edge length on the surfaces being stitched) in stitch_meshes().,0.0
c0303c7,2013-04-22T22:59:34,Adding misc. MOOSE references.,0.0
3ff8588,2013-04-23T07:40:56,Merge pull request #99 from benkirk/metis_refresh,0.0
e86d12e,2013-04-23T19:21:44,do not build empty files,0.0
9ecc96f,2013-04-23T19:27:56,nevermind  leaving this file will help if some platform requires preprocessor macros for openMP workarounds.  unlikely  but better safe.,0.0
4a1c13c,2013-04-24T16:26:32,Regenerate publication webpage.,0.0
9654cd8,2013-04-24T16:34:23,Update yearly publication counts.,0.0
4716a07,2013-04-25T09:00:14,fix weird NULL comparison,1.0
b730f79,2013-04-25T09:00:34,fix unnecessary comma causing issue for some compilers,1.0
21d33de,2013-04-25T12:52:52,I cover with pgi-13.4 now too.,0.0
bf82ed0,2013-05-01T13:46:43,Workaround for compiler warning.,0.0
04521f2,2013-05-01T14:04:54,Fix for older app Makefiles,1.0
b466fcc,2013-05-01T21:26:06,Updating statistics for April 2013.,0.0
d2d13e7,2013-05-01T21:32:21,Updating Millett 2013 reference.,0.0
88e1c91,2013-05-01T21:40:47,Adding Kirk 2013 reference.,0.0
1f8be16,2013-05-04T00:31:25,Added Swiler 2013 reference.,0.0
e2ebea3,2013-05-08T20:05:02,petsc-3.4: VecType  PCType  and KSPType are now const typedefs,0.0
52f950a,2013-05-09T17:03:47,Fix in config comment,1.0
f0dbd81,2013-05-09T17:07:07,Add macros for thread-local storage,0.0
133ba15,2013-05-15T09:50:45,Merge pull request #102 from jedbrown/jed/petsc-3.4,0.0
4aea079,2013-05-20T09:04:37,Added Widmer 2013 reference.,0.0
5d66646,2013-05-20T09:20:30,Commiting libmesh_config.h.in changed triggered by 52f950a0.,0.0
6091a56,2013-05-20T09:30:51,Updated Bhalla 2013 preprint.,0.0
6a11870,2013-05-20T09:36:41,Updated Bittl preprint.,0.0
cb6e751,2013-05-21T08:46:23,Got copy of Satou paper  they do use Libmesh.,0.0
549e8de,2013-05-21T08:50:19,Boyce Griffith says these papers don't use libmesh :-(,0.0
56a9ee4,2013-05-21T09:05:57,Adding Hu et al tech report.,0.0
3a43edf,2013-05-21T11:02:22,Fix for -Wshadow warning,1.0
74ceb54,2013-05-21T11:40:40,Bugfix for dof_id_type!=unsigned int configs,1.0
10744c2,2013-05-21T13:39:48,Merge pull request #91 from benkirk/blocked_matvec,0.0
a453f23,2013-05-21T14:19:46,"Remove equivalence between ""SHELL"" and standard element types.",0.0
86386ed,2013-05-21T16:46:27,need to use ilu with BAIJ format,0.0
c08baf8,2013-05-22T08:50:04,avoid preallocation error that seems to be triggered by blocked matrix storage,0.0
20645db,2013-05-22T09:37:31,avoid preallocation error that seems to be triggered by blocked matrix storage,0.0
f4fd670,2013-05-22T10:40:25,avoid partial overloading warning (intel 11.1),0.0
2d90b97,2013-05-22T12:15:53,BAIJ API seqence for v3.2 & below appears different - disable feature rather than figure this out.,0.0
e841a2b,2013-05-22T12:22:21,bump version number,0.0
fb7956f,2013-05-22T14:57:38,If we want to force the user to be responsible for parallel consistency (which Roy does - not sure I'm sold) at least we should give them a public member to make it easy.,0.0
1f5fe72,2013-05-22T15:08:59,Test for thread_local support,0.0
acdb8bd,2013-05-22T15:14:30,Propagate threads.m4 change to configure,0.0
68df695,2013-05-22T16:00:37,Fixes for -Wshadow warnings,1.0
7dce02a,2013-05-28T16:23:07,Add Fahrenholtz 2013 reference.,0.0
fbf41e8,2013-05-29T10:59:33,Fix for compilation error,1.0
30ef1b3,2013-05-29T11:35:38,Workaround Eigen::SparseMatrix<T1 T2 short> bug,0.0
4856c5f,2013-05-29T13:47:57,Bugfixes for processor_id_type > unsigned int,1.0
8591da0,2013-05-29T13:48:35,Fixes for numeric_index_type != unsigned int,1.0
2c5649e,2013-05-30T10:08:07,More fixes for dof_id_type != unsigned int,1.0
795f97a,2013-06-03T08:38:34,Updating statistics for May 2013.,0.0
eb13038,2013-06-03T08:52:05,Fix signed/unsigned warning in debug mode.,1.0
cfcbf67,2013-06-03T23:06:54,Added miscellaneous_ex9: Example that demonstrates a discontinuity on an internal mesh interface  which requires the sparsity pattern to be augmented.,0.0
3.224e+63,2013-06-05T15:05:21,Fix for dof_id_type != unsigned int,1.0
fac9b2b,2013-06-06T00:07:55,Rb stuff needs a non-const reference to dof_indices.,0.0
c3ea18f,2013-06-06T00:08:56,Use accessor API for FEMContext.,0.0
52b4023,2013-06-06T00:49:36,Update solvers to use updated FEMContext API.,0.0
b72ce0d,2013-06-06T00:52:18,Need non-const versions of these accessors. I'm not convinced this is the right way to go here  but rolling with it for now.,0.0
b2d82f4,2013-06-06T00:58:42,Updating reduced_basis to use new FEMContext API's.,0.0
72de92c,2013-06-06T01:17:40,Assert on the private data structures.,0.0
34266d6,2013-06-06T15:18:08,Update to use new FEMContext API. Also needed a non-const Elem&.,0.0
