hash,time,message,buggy
ac235b9,2008-01-31T11:42:33,initial import,0.0
eaccb2e,2008-01-31T11:42:54,Added some example usages to MDAnalysis This corresponds to r5 in /code/MDAnalysis.,0.0
2a8eb95,2008-01-31T11:43:01,MDAnalysis - bug with dcd slices This corresponds to r6 in /code/MDAnalysis.,0.0
50d16d9,2008-01-31T11:43:08,AtomGroup - bug in __getitem__ for ResidueGroup This corresponds to r7 in /code/MDAnalysis.,0.0
86f4d4b,2008-01-31T11:43:15,MDAnalysis - added momentOfInertia call This corresponds to r8 in /code/MDAnalysis.,0.0
bffbfe2,2008-01-31T11:43:23,MDAnalysis - added a center of geometry timeseries This corresponds to r9 in /code/MDAnalysis.,0.0
0d324fc,2008-01-31T11:43:31,Bug dcd correl functions when running on 64 bit machines This corresponds to r10 in /code/MDAnalysis.,0.0
ba342c1,2008-01-31T11:43:39,Added auxiliary data to correl function (to do mass weighting  for example) This corresponds to r11 in /code/MDAnalysis.,0.0
9152cf3,2008-01-31T11:43:47,Anastasia's change to load more than one dcd file (for split trajectories) This corresponds to r12 in /code/MDAnalysis.,0.0
44ded8b,2008-01-31T11:43:57,Calculate distance matrix between two sets of atoms This corresponds to r13 in /code/MDAnalysis.,0.0
8c90d03,2008-01-31T11:44:06,Added frame range to DCD::correl This corresponds to r14 in /code/MDAnalysis.,0.0
52933ea,2008-01-31T11:44:13,For the Atom timeseries  can now pass in a list of atoms This corresponds to r16 in /code/MDAnalysis.,0.0
17ad3fe,2008-01-31T11:44:20,PSFParser now gracefully handles psf files that only contain NATOM fields This corresponds to r17 in /code/MDAnalysis.,0.0
fd540ca,2008-01-31T11:44:27,Fixed a bug with loading new dcds into a universe  where each atom would refer to a previous dcd's timestep object This corresponds to r18 in /code/MDAnalysis.,1.0
f4fc049,2008-01-31T11:44:34,Stupid bug in the calculation of CenterOfMass for Timeseries (in correl.h) This corresponds to r19 in /code/MDAnalysis.,1.0
9200719.0,2008-01-31T11:44:41,Fixed a bug in the DCD reader when jumping to the beginning of the trajectory and there are fixed atoms This corresponds to r20 in /code/MDAnalysis.,1.0
2319431.0,2008-01-31T11:44:48,Why was I ever returning a copy of the timestep when using the indexing notation on the dcd reader? Who knows what I was thinkingsvn status This corresponds to r21 in /code/MDAnalysis.,0.0
c88e3fe,2008-01-31T11:44:55,Fixed a bug I must have introduced when trying to make PSF reading faster by preallocating the bond  angle  etc lists  but I was only including the last item that was read in each line - also disabled building of bondlists on each atom for the Bond selection  since noone's using it and it really slows down reading a psf This corresponds to r22 in /code/MDAnalysis.,1.0
b3f6a4e,2008-01-31T11:45:02,Fixed Timeseries so that you can pass in an AtomGroup This corresponds to r23 in /code/MDAnalysis.,1.0
c421884,2008-01-31T11:45:09,Import common objects into base namespace  also fixed some things in AtomGroup.py This corresponds to r24 in /code/MDAnalysis.,1.0
97817bc,2008-01-31T11:45:17,Changes to Timeseries so reference individual timeseries This corresponds to r25 in /code/MDAnalysis.,0.0
565ae2c,2008-01-31T11:45:26,Some changes to Timeseries objects for pretty printing This corresponds to r26 in /code/MDAnalysis.,0.0
a656bf5,2008-01-31T11:45:33,Added a self_distance function to compute distances within a group of atoms - returns a linear array which corresponds to the upper triangular distance matrix This corresponds to r32 in /code/MDAnalysis.,0.0
6ea6e66,2008-01-31T11:45:40,Pass in preformed array to distance functions - usefull for repeated calls with the same sets of atom groups This corresponds to r33 in /code/MDAnalysis.,0.0
7335792.0,2008-01-31T11:45:47,alternative Schlitter code that calculates entropy using the determinant This corresponds to r34 in /code/MDAnalysis.,0.0
8c989be,2008-01-31T11:45:54,Deprecated the ugly '_dcd' reference usage in Universe  use 'dcd' from now on This corresponds to r35 in /code/MDAnalysis.,0.0
c9a7842,2008-01-31T11:46:02,Updated examples to use new 'dcd' attribute This corresponds to r36 in /code/MDAnalysis.,0.0
7408b1e,2008-01-31T11:46:19,Cleanup of c source code directory - removed some modules that are no longer necessary This corresponds to r37 in /code/MDAnalysis.,0.0
87eccb8,2008-01-31T11:46:27,deleting This corresponds to r38 in /code/MDAnalysis.,0.0
3599d77,2008-01-31T11:46:34,new schlitter calculation that uses the determinant This corresponds to r39 in /code/MDAnalysis.,0.0
efdd5e1,2008-01-31T11:46:43,AtomGroup.atoms is now a proper attribute - deprecated '_atoms' access This corresponds to r40 in /code/MDAnalysis.,0.0
f8b7173,2008-01-31T11:46:51,RMS fitting to a reference set of coordinates - now compiles with Intel's MKL library This corresponds to r41 in /code/MDAnalysis.,0.0
5f7dffa,2008-01-31T11:46:58,Updated schlitter example to automatically remove translational and rotational degrees of freedom This corresponds to r42 in /code/MDAnalysis.,0.0
4084aae,2008-01-31T11:47:06,Fixed delaunay tetrahedronalization This corresponds to r43 in /code/MDAnalysis.,1.0
14cf0e5,2008-01-31T11:47:13,Small psf parsing bug when there are 0 entries for a particular potential term This corresponds to r44 in /code/MDAnalysis.,1.0
0b6c4cb,2008-01-31T11:47:20,Fixed PSF parsing when number of residues is greater than 10000 This corresponds to r45 in /code/MDAnalysis.,1.0
20d0a9b,2008-01-31T11:47:35,Finally - MDAnalysis has been updated to use numpy. Have fun!,0.0
a55e6bd,2008-01-31T11:47:43,Small bug in distances helper code This corresponds to r47 in /code/MDAnalysis.,1.0
2a8e613,2008-01-31T11:47:50,added prototype because compiler complained This corresponds to r48 in /code/MDAnalysis.,0.0
