hash,time,message,buggy
54ed4b3,2010-10-08T13:55:34,Fixed bug 582 for compilation with C++ and additional fixes for compilation with c++.,1.0
7603305.0,2010-10-30T23:05:37,coordinate tests: make sure that for Gromacs tests the conversion flag is set correctly - set core.flags[convert_gromacs_lengths] explicitly in setUp - encountered failures (possibly when running multiple tests with --processes=8) which   came about because the conversion flag was set to False even though it should have   been True,0.0
b869469,2010-10-31T00:29:18,Trajectory API: clarified use of Writer write() method in response to Issue 49 - no code changes  only docs - Trajectory writers can take a Timestep as a rgument to write() - Frame writers only take a AtomGroup or a Universe for write(),0.0
2edbb91,2010-10-31T00:29:24,test datafiles: fixed import list CRD_small -> CRD,0.0
6ff313f,2010-10-31T00:29:34,Frame writer can take a Universe (fixes one half of Issue 49) - added universe attribute to Universe - altered GRO  CRD  and PrimitivePDB writer so that they can   deal with a Universe as argument (just get the coordinates from   the atoms instead of the 'selection' --- no performance penalty    just making use of the improved hierarchy and the fact that   .atoms is now a true AtomGroup) - added test case (passes),0.0
7129ae7,2010-11-01T22:10:11,use PrimitivePDBReader as default PDB reader - Bio.PDB's reader can drop atoms when they have the same name   in a residue (which happens for systems generated from MD simulations)   The PrimitivePDBReader copes just fine with thos cases (but does   not handle esoteric PDB features such as alternative atoms and   insertion codes that are not needed for handling MD simulation data). - The default behaviour of MDAnalysis can be set through the flag       MDAnalysis.core.flag['permissive_pdb_reader']   The default is True. - One can always manually select the PDB reader by providing the   permissive keyword to Universe  e.g. Universe(... permissive=False)   will read the input file with the Bio.PDB reader. This might be   useful when processing true Protein Databank PDB files.,0.0
9dd0cc7,2010-11-01T22:10:16,updated CHANGELOG with denniej's CRD additions (from http://code.google.com/p/mdanalysis/wiki/ReleaseNotes070 ),0.0
0d30f46,2010-11-02T12:46:44,started 0.7.1 development,0.0
97e5ab6,2010-11-03T12:46:17,fixed race conditions in test suite - any tests that relied on values of the internal flags have been   changed so that they set behaviour through keyword arguments instead    of manipulating flags - affects gromacs conversion of length (GRO  XTC  TRR) with the convert_gromacs_length   flag and the use of the permissive PDB reader (permissive_pdb_reader flag) - tests could fail when they were performed in parallel and different test threads   changed the global flags - added a fes tests to check for the default values but DO NOT USE THE FLAGS during   testing,1.0
2e778c0,2010-11-03T18:40:28,names() for AG,0.0
c47fadb,2010-11-03T18:40:35,new COntactAnalysis1 class,0.0
3ce0098,2010-11-03T18:40:40,upgraded ez_setup.py to 0.6c11,0.0
aec4310,2010-11-03T18:45:56,fixed: tests for crd files would fail (added crds to setup.py distribution),1.0
c1a04e4,2010-11-03T20:10:50,contact analsysis: added docs and matrix plotting,0.0
5fc635e,2010-11-03T21:11:09,Fix for issue 51: bolean correction from and to or for various flot32/64 checks etc.,1.0
094b90a,2010-11-03T22:24:57,added Joe Goose to AUTHORS and documented fix of Issue 51 in CHANGELOG (picked from the 0.7.0 release branch),0.0
4784f04,2010-11-03T23:39:44,contacts: can write figures by suppling filename and more docs,0.0
4af4a34,2010-11-04T00:22:01,selection update for nucleicxstal 0.7.1 only,0.0
4a637c2,2010-11-05T04:15:54,"documentation enhancements and configuration changes - added overview (not finished) and page on selections (goes beyond the current   online docs and includes the docs on instant selectors) - maded analysis modules separate pages (otherwise the analysis page becomes very   long and cluttered) - renamed the top level file to index because that makes it easier to serve it   via apache - configuration file changes     - bumped version/release     - put authors in one variable and also added Joe     - removed most of the special sphinx modules  only kept autodoc and intersphinx        add the others peicewise when needed (also might help to reduce weird sphinx       errors)     - added links for intersphinx (but commented out during development because       loading the objects.inv always takes a while)     - removed all path fiddling  simply use full import names in docs. This works well       but keep in mind that this obtains the docs from imported modules  works best       with developer installation (i.e. ""python setup.py develop"") - ""make html"" works fine for me",0.0
22a353d,2010-11-05T21:00:44,dihedral analysis for AtomGroupmust use a hard-specific selection to get correct dihedral value,0.0
653ee5d,2010-11-06T01:47:36,-Sphinx .rst source changes in this commit  but not supplying the built html -not everything is formatted/fully consistent but at least we are grabbing more docs -a few syntax warning do pop up during the build by they are not exceptions and allow the index file to be made,0.0
e1f4c14,2010-11-07T19:18:58,The Makefile in /doc/sphinx/ has been modified to put all output in the doc/html/ folder. Simply use the command: 'make html'. Newly included sphinx .rst documentation (source only  not including built html): -modules in /MDAnalysis/core/,0.0
43be61e,2010-11-18T15:42:05,Sphinx source updated to include documentation from modules in: MDAnalysis/KDTree (except for the CKDTree module which has no docstrings),0.0
cd44261,2010-12-17T15:22:00,Writer class: fixed repr even if no numatoms provided,0.0
1ca2520,2010-12-17T15:25:59,enabled inter-sphinx links to numpy and scipy,0.0
49e815e,2010-12-17T15:26:11,FIXED: Issue 53 (ChainedReader failed when accessing dt),1.0
bf16cd7,2011-01-05T19:21:16,generated docs with sphinx,0.0
5dcee4a,2011-01-05T19:49:11,added mime types for serving docs from googlecode  see Issue 44,0.0
