hash,time,message,buggy
8cbdc55,2008-08-23 00:02:50,Branch to test pre 0.5.1 (This is UNSTABLE and any given svn version may be completely broken),0
0554742,2008-08-23 01:14:54,updated UNSTABLE to release 0.5.1 using merge: this revision is equivalent to tags/release-0-5-1,0
b90aea8,2008-08-23 01:36:39,H-bond analysis: reading donors/acceptors from psf,0
b4d55bc,2008-08-23 03:53:25,Major restructuring of module: - core functions are in core - coordinate readers/writers are in coordinates - topology contains topology parsers - utils: misc - KDTree: copied Thomas Hamelryck's KDTree neighbour search code from Biopython   added copyright boilerplate and Biopython to LICENSE   This code will be used for fast distance selection and H-bond analysis. Loading a psf/dcd universe works  Selecting on the universe works  nothing else tested.,0
b9d4f29,2008-08-23 04:15:04,initial work on defining hydrogen bonds,0
842210f,2008-08-23 12:49:35,UNSTABLE: fixes in HBond (at least now it runs...),0
4630319,2008-08-23 12:51:23,UNSTABLE: fixed __init__.py fles so that we really present the same names in the MDAnalysis name space as before the reorganization,0
ab57ac8,2008-08-24 00:59:21,- switched KDTree to using numpy - neighbor searching methods work in principle with selections   (re-implemented some functionality of NeighborSearch using the Atom   data structure instead of the Bio.PDB entities),0
798161f,2008-08-24 01:58:28,Basic outline of how to calculate pairs within a given radius for determining H-bonds.,0
3ca7d91,2008-08-24 22:14:46,- made bfactors a property of Universe - added dimensions property to AtomGroup (required for AROUND and   POINT selection to work on AtomGroups) - reformatted docs (line breaks  initial white space),0
652d487,2008-08-24 23:02:23,New functionality in NeighborSearch: - CoordinateNeighborSearch(): takes coordinate arrays   AtomNeighborSearch(): takes AtomGroups (or anything with a   coordinates()) method. In MDAnalysis we are only using   CoordinateNeighborSearch() at the moment. - New search_list() method to find all A within R of B.,0
4cfbf64,2008-08-24 23:13:35,Distance selections: - AROUND and POINT work when applied to a universe (there's still a   bug present that prevents proper use with AtomGroups)  I fixed a bug   that made these selections spit out total garbage or crash - AROUND uses by default KDTree neighbor search and is about 7x faster   than the distance matrix based routine (still  it is even better to   explicitly construct such selections with AtomGroups and   KDTree.NeighborSearch.AtomNeighborSearch),0
b842b018,2008-08-25 01:08:25,fixed: threw exception if no atom was found at all  now just returns empty index list,0
5c16948,2008-08-25 10:43:16,Let AROUND selection use periodic=True (if available),0
2e4d939,2008-08-25 19:47:34,Added order='C' to make clear what the array layout should be  this does not change anything because the numpy default is 'C' anyway.,0
eca9dd9,2008-08-25 20:25:39,fixed: typo  entity unwrapping of segment should now really return a segment,0
68dc377,2008-08-31 21:36:32,fixed: 'from MDAnalysis import *' did not get Universe and collection into the main name space (in the same way as the old MDAnalysis did),0
0e75b0d,2008-08-31 23:14:57,fixed: copy does not take kw args,0
23b347d,2008-09-01 01:59:50,Framework to organize flags: setup the core.flags instance in __init__.py and import where necessary. Values can be changed interactively and include error checks on values.,0
85c6124,2008-09-01 02:02:40,renamed append() to register() (makes more sense),0
f4e4e92,2008-09-01 11:21:01,- cleaned up and added docs - defined specifications and conventions for flag doc strings,0
