hash,time,message,buggy
8f2c67b,2011-02-08T12:13:55,bumped version to 0.7.2-devel for developing,0.0
f150c00,2011-02-09T22:44:18,PDB topology parser: use chain as segment id if no other segid defined in the file,0.0
4a73b46,2011-02-09T22:44:28,Segment.id is an alias for Segment.name (to make the interface more consistent),0.0
1764edd,2011-02-12T20:54:39,copied QCP rotation example to examples directory,0.0
db3bd0b,2011-02-12T20:54:52,added accepted MDAnalysis paper as citation - in README  online docs and init - also updated the examples section in the overview - also ask users to cite the Theobald articles for the QCP rotation code,0.0
08610ac,2011-02-12T20:55:16,regenerated online docs (0.7.2 with MDAnalysis citation),0.0
36e42bc,2011-02-12T21:09:58,updated deprecated usage in potential profile example (and added note that the example requires user editing),0.0
014e7ef,2011-02-14T12:06:52,fixed problems with reading an processing triclinic unitcells - Issue 60: fixed reading of CRYST1 (was completely messed up) - Issue 61: order of angles was wrong when converting from a box vectors representation to   box lengths  angles  see e.g. http://en.wikipedia.org/wiki/Lattice_constant   for definitions - Issue 34: revisited old bug and changed test case so that it would catch angle mix up that was   overlooked in the previous fix,1.0
e3c5763,2011-02-14T13:53:20,PrimitivePDBWriter writes chainID (from 1st letter of segid),0.0
a7fbe07,2011-02-14T19:30:52,new method bbox() for AtomGroup: calculates the orthorhombic bounding box,0.0
61bfdfe,2011-02-14T19:31:00,density: use PrimitivePDBReader to get PDB (can do B-factors and does not break as easily),0.0
8835600000000.0,2011-02-14T19:31:17,density: corrected docs for density units (and added better error message),0.0
cfd2e95,2011-02-15T14:56:56,fixed Online Doc for point selection (reported by Joe),1.0
f74ffcb,2011-02-15T14:57:09,rebuilt online docs (0.7.2 with fix for point selection),0.0
b946c38,2011-03-09T20:06:32,Issue 64 fixed: universe.trajectory.delta values are rounded when read from the dcd header file (This used to be rounded to 4 decimals but people suggested that the full precision would be better.),0.0
