Date,Actual,ARIMA,NAIVE
2016-12-12,12,10,0
2016-12-19,7,10,12
2016-12-26,8,10,7
2017-01-02,18,10,8
2017-01-09,14,11,18
2017-01-16,12,12,14
2017-01-23,4,12,12
2017-01-30,3,12,4
2017-02-06,10,11,3
2017-02-13,0,11,10
2017-02-20,3,10,0
2017-02-27,13,9,3
2017-03-06,16,10,13
2017-03-13,13,11,16
2017-03-20,2,11,13
2017-03-27,1,10,2
2017-04-03,1,9,1
2017-04-10,11,9,1
2017-04-17,2,9,11
2017-04-24,2,8,2
2017-05-01,4,8,2
2017-05-08,10,8,4
2017-05-15,1,8,10
2017-05-22,20,7,1
2017-05-29,17,8,20
2017-06-05,24,14,17
2017-06-12,11,8,24
2017-06-19,12,1,11
2017-06-26,9,7,12
2017-07-03,27,12,9
2017-07-10,19,9,27
2017-07-17,38,20,19
2017-07-24,54,15,38
2017-07-31,25,17,25
2017-08-07,30,30,25
2017-08-14,25,18,30
2017-08-21,3,39,25
2017-08-28,11,19,3
2017-09-04,2,7,11
2017-09-11,4,1,2
2017-09-18,5,11,4
2017-09-25,2,1,5
2017-10-02,38,1,2
2017-10-09,11,18,38
2017-10-16,8,17,11
2017-10-23,37,14,8
2017-10-30,5,18,37
2017-11-06,23,31,5
2017-11-13,14,18,23
2017-11-20,9,18,14
2017-11-27,14,18,9
2017-12-04,5,18,14
2017-12-11,23,17,5
2017-12-18,5,18,23
2017-12-25,36,17,5
2018-01-01,21,21,36
2018-01-08,0,15,21
2018-01-15,6,18,0
2018-01-22,5,18,6
2018-01-29,5,17,5
2018-02-05,13,17,5
2018-02-12,6,7,13
2018-02-19,8,11,6
2018-02-26,34,6,8
2018-03-05,34,17,34
2018-03-12,16,18,16
2018-03-19,15,18,15
2018-03-26,18,16,15
2018-04-02,29,18,29
2018-04-09,7,24,29
2018-04-16,1,18,7
2018-04-23,7,18,1
2018-04-30,15,17,15
2018-05-07,20,17,15
2018-05-14,27,18,20
2018-05-21,20,18,20
2018-05-28,6,23,20
2018-06-04,26,18,26
2018-06-11,8,15,26
2018-06-18,8,11,8
