Date,Actual,ARIMA,NAIVE
2014-07-21,0,0,0
2014-07-28,0,0,0
2014-08-04,0,0,0
2014-08-11,0,0,0
2014-08-18,0,0,0
2014-08-25,0,0,0
2014-09-01,0,0,0
2014-09-08,0,0,0
2014-09-15,0,0,0
2014-09-22,1,0,0
2014-09-29,4,0,1
2014-10-06,0,0,4
2014-10-13,0,0,0
2014-10-20,0,0,0
2014-10-27,0,0,0
2014-11-03,0,0,0
2014-11-10,0,0,0
2014-11-17,0,0,0
2014-11-24,1,0,0
2014-12-01,0,0,1
2014-12-08,0,0,0
2014-12-15,0,0,0
2014-12-22,0,0,0
2014-12-29,0,0,0
2015-01-05,0,0,0
2015-01-12,0,0,0
2015-01-19,0,0,0
2015-01-26,0,0,0
2015-02-02,0,0,0
2015-02-09,1,0,1
2015-02-16,0,0,1
2015-02-23,1,0,0
2015-03-02,0,0,1
2015-03-09,0,0,0
2015-03-16,0,0,0
2015-03-23,0,0,0
2015-03-30,3,349,0
2015-04-06,3,0,3
2015-04-13,1,0,3
2015-04-20,0,0,1
2015-04-27,0,0,0
2015-05-04,2,0,0
2015-05-11,0,0,0
2015-05-18,0,0,0
2015-05-25,0,0,0
2015-06-01,0,0,0
2015-06-08,0,0,0
2015-06-15,0,0,0
2015-06-22,0,0,0
2015-06-29,0,0,0
2015-07-06,4,0,0
2015-07-13,3,1,4
2015-07-20,1,0,3
2015-07-27,0,0,1
2015-08-03,1,0,1
2015-08-10,1,0,1
2015-08-17,0,0,1
2015-08-24,0,0,0
2015-08-31,2,0,0
2015-09-07,0,1,2
2015-09-14,4,0,0
2015-09-21,1,1,1
2015-09-28,1,1,1
2015-10-05,1,1,1
2015-10-12,0,1,0
2015-10-19,1,1,0
2015-10-26,1,1,1
2015-11-02,0,1,0
2015-11-09,0,1,0
2015-11-16,2,0,0
2015-11-23,0,1,0
2015-11-30,0,0,0
2015-12-07,5,0,0
2015-12-14,2,1,2
2015-12-21,0,31,2
2015-12-28,0,1,0
2016-01-04,0,1,0
2016-01-11,0,0,0
2016-01-18,0,0,0
2016-01-25,7,0,0
2016-02-01,4,1,4
2016-02-08,2,1,2
2016-02-15,2,1,2
2016-02-22,0,0,2
2016-02-29,0,0,0
2016-03-07,0,0,0
2016-03-14,0,0,0
2016-03-21,0,0,0
2016-03-28,0,0,0
2016-04-04,0,0,0
2016-04-11,0,0,0
2016-04-18,0,0,0
2016-04-25,0,0,0
2016-05-02,0,0,0
2016-05-09,0,0,0
2016-05-16,0,0,0
2016-05-23,0,0,0
2016-05-30,1,0,0
2016-06-06,0,1,1
2016-06-13,1,0,0
2016-06-20,0,0,1
2016-06-27,0,0,0
2016-07-04,1,0,0
2016-07-11,0,1,1
2016-07-18,0,0,0
2016-07-25,0,0,0
2016-08-01,2,0,0
2016-08-08,5,0,2
2016-08-15,1,1,1
2016-08-22,0,1,0
2016-08-29,5,1,5
2016-09-05,4,1,5
2016-09-12,3,1,3
2016-09-19,0,0,3
2016-09-26,6,0,0
2016-10-03,4,3,6
2016-10-10,12,1,4
2016-10-17,12,1,12
2016-10-24,10,2,10
2016-10-31,4,8,10
2016-11-07,0,2,4
2016-11-14,5,1,0
2016-11-21,0,2,0
2016-11-28,0,2,0
2016-12-05,0,2,0
2016-12-12,0,2,0
2016-12-19,12,1,0
2016-12-26,28,2,12
2017-01-02,13,3,28
2017-01-09,26,6,13
2017-01-16,26,4,26
2017-01-23,15,4,26
2017-01-30,22,12,15
2017-02-06,19,5,22
2017-02-13,1,5,19
2017-02-20,7,5,1
2017-02-27,2,5,2
2017-03-06,0,5,2
2017-03-13,3,4,0
2017-03-20,19,5,3
2017-03-27,11,6,19
2017-04-03,6,11,11
2017-04-10,7,6,7
2017-04-17,4,6,7
2017-04-24,3,6,4
2017-05-01,5,6,3
2017-05-08,2,6,5
2017-05-15,6,6,2
2017-05-22,7,6,6
2017-05-29,3,6,7
2017-06-05,3,6,3
2017-06-12,4,6,3
2017-06-19,3,6,4
2017-06-26,0,6,3
2017-07-03,0,6,0
2017-07-10,0,6,0
2017-07-17,0,6,0
2017-07-24,0,5,0
2017-07-31,0,5,0
2017-08-07,0,5,0
2017-08-14,0,5,0
2017-08-21,0,5,0
2017-08-28,0,5,0
2017-09-04,0,5,0
2017-09-11,0,5,0
2017-09-18,0,5,0
2017-09-25,0,5,0
2017-10-02,0,5,0
2017-10-09,0,5,0
2017-10-16,0,5,0
2017-10-23,0,4,0
2017-10-30,0,4,0
2017-11-06,0,4,0
2017-11-13,0,4,0
2017-11-20,0,4,0
2017-11-27,0,4,0
2017-12-04,0,4,0
2017-12-11,0,4,0
2017-12-18,0,4,0
2017-12-25,0,4,0
2018-01-01,0,4,0
2018-01-08,0,4,0
2018-01-15,0,4,0
2018-01-22,0,4,0
2018-01-29,0,4,0
2018-02-05,0,3,0
2018-02-12,0,3,0
2018-02-19,0,3,0
2018-02-26,0,3,0
2018-03-05,0,3,0
2018-03-12,0,3,0
2018-03-19,0,3,0
2018-03-26,0,3,0
2018-04-02,0,3,0
2018-04-09,0,3,0
2018-04-16,0,3,0
2018-04-23,0,3,0
2018-04-30,0,3,0
2018-05-07,0,3,0
