Date,Actual,ARIMA,NAIVE
2003-08-11,3,4,1
2003-08-18,3,3,3
2003-09-15,1,3,3
2003-10-06,5,0,1
2004-01-12,1,1,0
2007-07-09,3,1,0
2007-11-19,6,18,2
2007-11-26,2,6,6
2011-05-23,6,6,0
2011-07-11,2,3,6
2011-08-15,1,2,2
2011-10-31,1,1,0
2012-01-30,4,1,0
2012-02-06,4,2,4
2012-02-20,1,2,4
2012-02-27,2,2,1
2012-03-05,5,2,2
2012-03-12,8,3,5
2012-03-19,3,4,8
2012-03-26,6,3,3
2012-04-02,5,4,6
2012-04-09,7,4,5
2012-04-16,1,5,7
2012-05-14,2,0,0
2012-05-21,3,2,2
2012-06-18,1,1,1
2012-07-02,9,5,11
2012-08-13,2,3,5
2012-08-27,4,3,3
2012-09-17,11,1,0
2013-02-04,27,7,9
2013-02-11,7,14,27
2013-02-18,5,5,7
