Date,Actual,ARIMA,NAIVE
2010-10-25,4,203,10
2011-03-21,21,0,3
2011-08-29,3,6,7
2012-01-30,4,2,0
2012-03-05,7,1,6
2012-03-26,3,1,7
2012-07-16,6,3,1
2012-07-23,1,5,6
2012-08-06,4,2,0
2012-10-15,4,2,0
2012-12-03,1,1,0
2012-12-10,2,0,1
2013-01-14,2,1,0
2013-04-15,3,0,0
2013-04-22,1,0,3
2013-04-29,11,1,1
2013-06-03,3,1,0
2013-07-15,2,1,0
2013-09-02,2,1,2
2013-10-28,1,1,0
2013-11-04,4,1,1
2013-12-16,6,0,0
2013-12-23,3,2,6
2014-01-06,1,6,16
2014-01-20,10,1,1
2014-02-10,1,1,0
2014-04-07,1,0,0
2014-10-27,1,0,0
2014-12-08,3,0,0
2015-01-12,3,0,0
2015-04-13,1,0,0
2015-05-25,1,0,0
2015-06-08,2,0,0
2015-06-29,3,2,3
2015-07-20,3,3,8
2015-07-27,6,2,3
2015-08-10,6,2,0
2015-08-17,1,2,6
2015-08-24,6,2,1
2015-08-31,5,2,6
2015-09-14,4,2,3
2015-09-21,2,2,4
2015-10-26,2,3,2
2015-11-09,3,3,3
2015-11-16,3,2,3
2015-11-30,1,3,3
2015-12-07,4,2,1
2016-01-04,2,1,0
2016-03-07,2,0,0
2016-04-11,3,0,0
2016-04-18,3,1,3
2016-05-09,2,1,1
2017-05-15,2,2,6
2017-05-29,1,1,1
2018-01-22,1,0,0
2018-02-05,2,0,1
2018-02-12,2,0,2
2018-02-26,3,0,0
2018-03-05,4,1,3
2018-03-12,1,1,4
2018-03-19,6,0,1
